nyt_id,facility_name,facility_type,facility_city,facility_county,facility_county_fips,facility_state,facility_lng,facility_lat,latest_inmate_population,max_inmate_population_2020,total_inmate_cases,total_inmate_deaths,total_officer_cases,total_officer_deaths,note
7B676BEF,Hamilton Aged and Infirmed prison,State facility,Hamilton,Marion,01093,Alabama,-87.992039,34.1245926,269,,48,14,41,0,
8270BF4E,Hamilton Community Based Facility,State prison,Hamilton,Marion,01093,Alabama,-87.9597876,34.1439853,212,,8,2,22,0,
10228D42,Holman Correctional Facility,State prison,Atmore,Escambia,01053,Alabama,-87.4500379,31.1342179,148,843,39,2,33,0,
1E5109A7,Kilby Correctional Facility,State prison,Mount Meigs,Montgomery,01101,Alabama,-86.1017437,32.3879038,1176,,25,2,44,0,
58CDABD8,Limestone Correctional Facility,State prison,Harvest,Limestone,01083,Alabama,-86.8041157,34.8125703,2190,,152,4,105,0,
F285C4CD,Loxley prison,State prison,Loxley,Baldwin,01003,Alabama,-87.778689,30.6170413,128,,106,0,14,0,
A7D22A15,Mobile Community Based Facility/Community Work Center,State prison,Mobile,Mobile,01097,Alabama,-88.1091495,30.7381585,163,,15,0,21,0,
3C976ECE,Montgomery Women's Community Based Facility and Community Work Center,State prison,Montgomery,Montgomery,01101,Alabama,-86.1014789,32.3877556,187,,1,0,11,0,
E373AAD4,North Alabama prison,State prison,Decatur,Morgan,01103,Alabama,-87.005176,34.6183551,479,,87,0,30,0,
68C87646,Red Eagle Community Work Center prison,State prison,Montgomery,Montgomery,01101,Alabama,-86.2374047,32.4658298,237,,18,0,20,0,
161DFD77,Saint Clair Correctional Facility,State prison,Springville,St. Clair,01115,Alabama,-86.3856506,33.7469215,1102,,106,16,58,0,
D0CF8DF6,Staton Correctional Facility,State prison,Elmore,Elmore,01051,Alabama,-86.3331571,32.5771655,1283,1400,59,7,61,0,
DF882AD4,Tutwiler women's prison,State prison,Wetumpka,Elmore,01051,Alabama,-86.1940048,32.5640382,688,964,62,1,69,2,
BD344E82,Tutwiler Quarantine Intake Facility,State facility,Wetumpka,Elmore,01051,Alabama,-86.1940048,32.5640382,25,,35,0,0,0,
09975519,Ventress Correctional Facility,State prison,Clayton,Barbour,01005,Alabama,-85.4928783,31.8889518,1093,,77,2,46,0,
C69A0295,Anchorage Correctional Complex,State prison,Anchorage,Anchorage,02020,Alaska,-149.8567678,61.2186175,949,,514,0,0,0,
BB635EA4,Anvil Mountain Correctional Center,State prison,Nome,Nome,02180,Alaska,-165.4125694,64.5372083,148,,4,0,0,0,
1CADA532,Clitheroe community treatment center,State prison,Anchorage,Anchorage,02020,Alaska,-150.0215222,61.1756719,11,,3,0,0,0,
B46A8B95,Cordova residential center,State prison,Anchorage,Anchorage,02020,Alaska,-149.8793235,61.1967423,136,,1,0,0,0,
36297303,Fairbanks Correctional Center,State prison,Fairbanks,Fairbanks North Star,02090,Alaska,-147.7591515,64.8333367,273,294,154,0,0,0,
7120943C,Goose Creek Correctional Center,State prison,Wasilla,Matanuska-Susitna,02170,Alaska,-149.9900218,61.3600947,1293,1348,1041,0,0,0,
81B19B7F,Hiland Mountain Correctional Center,State prison,Eagle River,Anchorage,02020,Alaska,-149.5789796,61.3030382,324,333,235,0,0,0,
2F72E4F2,Ketchikan Correctional Center,State prison,Ketchikan,Ketchikan Gateway,02130,Alaska,-131.6499571,55.3481991,64,64,1,0,0,0,
9BD8D968,Lemon Creek Correctional Center,State prison,Juneau,Juneau,02110,Alaska,-134.4844657,58.3627568,219,229,19,0,11,0,
30D2AFE4,Mat-Su pretrial facility,State prison,Palmer,Matanuska-Susitna,02170,Alaska,-149.1094859,61.6023138,97,,69,0,0,0,
ED29F8B4,Palmer Correctional Center,State prison,Palmer,Matanuska-Susitna,02170,Alaska,-149.0079722,61.6914167,,,0,0,0,0,
F1A2639C,Parkview Center halfway house,State prison,Anchorage,Anchorage,02020,Alaska,-149.884861,61.213899,112,,17,0,0,0,
1DDD7616,Point Mackenzie Correctional Farm,State prison,Wasilla,Matanuska-Susitna,02170,Alaska,-150.0924149,61.4186,87,96,0,0,0,0,
5E5EAB60,Spring Creek Correctional Center,State prison,Seward,Kenai Peninsula,02122,Alaska,-149.338074,60.0939166,524,537,8,0,0,0,
813F9723,Tundra Center halfway house,State prison,Bethel,Bethel,02050,Alaska,-161.7520687,60.7922171,40,,17,0,0,0,
150DF866,Wildwood Correctional Complex,State prison,Kenai,Kenai Peninsula,02122,Alaska,-151.2999885,60.5842344,287,297,1,0,0,0,
713DA6B2,Wildwood Pretrial Facility,State prison,Kenai,Kenai Peninsula,02122,Alaska,-151.2999821,60.5839597,124,,47,0,0,0,
E0BFBFE7,Yukon Kuskokwim Correctional Center,State prison,Bethel,Bethel,02050,Alaska,-161.7866538,60.7860621,203,,186,0,0,0,
F334992C,McLaughlin Youth Center facility,State juvenile detention,Anchorage,Anchorage,02020,Alaska,-149.8313312,61.1876279,35,,41,0,78,0,
FB20EF1C,Arizona State Prison Complex – Safford,State prison,Safford,Graham,04009,Arizona,-109.565446,32.830916,1227,1613,851,0,0,0,
01C9E69B,Central Arizona Correctional Facility,State prison,Florence,Pinal,04021,Arizona,-111.3775177,33.0407485,1280,1280,69,3,0,0,
AA807759,Arizona State Prison Complex – Douglas,State prison,Douglas,Cochise,04003,Arizona,-109.6001473,31.4455003,1848,2132,1163,0,0,0,
91B22ADD,Eyman Complex prison,State prison,Florence,Pinal,04021,Arizona,-111.3375688,33.0314738,5362,5471,2023,5,0,0,
0CF96DB1,Arizona State Prison Complex – Yuma,State prison,San Luis,Yuma,04027,Arizona,-114.6430823,32.4941306,4316,4862,2010,6,0,0,
8AB67A91,Arizona State Prison Phoenix-West,State prison,Phoenix,Maricopa,04013,Arizona,-112.1328778,33.4327528,436,487,44,1,0,0,
3C7ED25E,Red Rock Correctional Facility,State prison,Eloy,Pinal,04021,Arizona,-111.5206062,32.8089843,1933,1955,119,0,0,0,
7DE4A49F,Arizona State Prison Complex – Phoenix,State prison,Phoenix,Maricopa,04013,Arizona,-112.0258996,33.4525898,534,781,651,0,0,0,
EEB259F0,Arizona State Prison Complex – Perryville,State prison,Goodyear,Maricopa,04013,Arizona,-112.4422426,33.4710105,3529,4242,343,0,0,0,
07E5D203,Maricopa Reentry Center,State prison,Phoenix,Maricopa,04013,Arizona,-112.1204332,33.707162,,,0,0,0,0,
E830C278,Arizona State Prison Complex – Lewis,State prison,Buckeye,Maricopa,04013,Arizona,-112.6443652,33.2012808,4617,4617,1310,2,0,0,
FE3A3BBB,Arizona State Prison – Kingman,State prison,Golden Valley,Mohave,04015,Arizona,-114.179681,35.028965,2349,3321,653,3,0,0,
D2939176,Arizona State Prison Florence-West,State prison,Florence,Pinal,04021,Arizona,-111.3765313,33.0368933,610,,45,0,0,0,
26CFE1E6,Pima Reentry Center,State prison,Tucson,Pima,04019,Arizona,-110.9907142,32.2041987,,,0,0,0,0,
1811497D,Arizona State Prison Complex – Florence,State prison,Florence,Pinal,04021,Arizona,-111.373139,33.0285822,2704,3872,440,12,0,0,
E65585F9,Arizona State Prison Complex – Winslow,State prison,Winslow,Navajo,04017,Arizona,-110.718345,34.9846405,1102,1379,245,0,0,0,
84A26E27,Arizona State Prison Complex – Tucson,State prison,Tucson,Pima,04019,Arizona,-110.8588515,32.0667504,4566,5067,2241,12,1,0,
1A0A4D5B,Marana Community Correctional Treatment Facility,State prison,Marana,Pima,04019,Arizona,-111.2419433,32.4176483,353,391,22,0,0,0,
5422E7DA,Barbara Ester Unit prison,State prison,Pine Bluff,Jefferson,05069,Arkansas,-92.0830434,34.2221241,564,577,358,0,6,0,
F8DDCC14,Benton Unit prison,State prison,Benton,Saline,05125,Arkansas,-92.6552474,34.5232987,323,323,207,0,2,0,
9C4C9E44,Central Arkansas Community Correction Center,State prison,Little Rock,Pulaski,05119,Arkansas,-92.3267923,34.747727,117,,167,0,42,1,
14BB62A3,Cummins Unit prison,State prison,Grady,Lincoln,05079,Arkansas,-91.5840036,34.0521395,1859,1967,1147,12,72,0,
51E15B7A,Delta Regional Unit prison,State prison,Dermott,Chicot,05017,Arkansas,-91.4273858,33.5192124,575,602,473,0,15,0,
53172B51,East Arkansas Regional Unit prison,State prison,Marianna,Lee,05077,Arkansas,-90.6000061,34.8491859,1537,1562,906,6,61,0,
7F274AC6,Grimes Unit prison,State prison,Newport,Jackson,05067,Arkansas,-91.1914672,35.6257553,1028,1084,795,1,14,0,
303CACDF,Maximum Security Unit prison,State prison,England,Jefferson,05069,Arkansas,-91.9153589,34.4545849,559,564,227,2,6,0,
456C89E8,McPherson Unit prison,State prison,Newport,Jackson,05067,Arkansas,-91.1936772,35.6256219,877,877,658,0,9,0,
84FC8C88,Mississippi County Work Release Center prison,Low-security work release,Luxora,Mississippi,05093,Arkansas,-89.9634757,35.7815299,134,,96,0,4,0,
D79BA1DE,North Central Unit prison,State prison,Calico Rock,Izard,05065,Arkansas,-92.1505389,36.1632568,749,819,484,1,7,0,
B9778FE3,Northeast Arkansas Community Corrections,State prison,Osceola,Mississippi,05093,Arkansas,-89.9898559,35.6830498,179,,147,0,4,0,
77555645,Northwest Arkansas Community Corrections,State prison,Fayetteville,Washington,05143,Arkansas,-94.1576886,36.0640905,102,,6,0,2,0,
9AA13461,Northwest Arkansas Work Release prison,Low-security work release,Springdale,Washington,05143,Arkansas,-94.135712,36.1749475,,,69,0,4,0,
0454E781,Omega Technical Violator Center prison,State prison,Malvern,Hot Spring,05059,Arkansas,-92.8400224,34.3498948,163,,242,0,0,0,
26030F83,Ouachita River Unit prison,State prison,Malvern,Hot Spring,05059,Arkansas,-92.8428947,34.3448845,1711,1755,1673,22,48,0,
D8411DDF,Pine Bluff prison,State prison,Pine Bluff,Jefferson,05069,Arkansas,-92.0007413,34.2275847,515,,349,2,6,0,
364CE0E0,Randall L. Williams Correctional Facility,State prison,Pine Bluff,Jefferson,05069,Arkansas,-92.0776873,34.2218274,442,547,324,1,20,0,
AE0AB3FC,Southwest Arkansas Community Correction Center,State prison,Texarkana,Miller,05091,Arkansas,-94.0418265,33.4263908,234,,132,0,0,0,
64B18FAA,Texarkana Regional Correction Center,State prison,Texarkana,Miller,05091,Arkansas,-94.0412954,33.4263671,112,,173,0,3,0,
AA72EB91,Tucker Unit prison,State prison,Tucker,Jefferson,05069,Arkansas,-91.9099312,34.439058,922,972,659,1,1,0,
4D6E64C8,Varner Supermax Unit prison,State prison,Grady,Lincoln,05079,Arkansas,-91.6082034,34.0425076,1498,1498,874,1,7,0,
7C68181A,Arkansas Juvenile Assessment and Treatment Center,State juvenile detention,Alexander,Saline,05125,Arkansas,-92.4946948,34.6377305,,,63,0,67,4,
AF49C345,Wrightsville Unit prison,State prison,Wrightsville,Pulaski,05119,Arkansas,-92.211039,34.6058119,815,847,1055,3,19,0,
5DDB1797,East Central Arkansas Community Correction Center-- Women's Unit,State prison,West Memphis,Crittenden,05035,Arkansas,-90.189129,35.1432871,,,94,0,3,0,
E7F67CD9,Dermott Juvenile Correctional Facility,State juvenile detention,Dermott,Chicot,05017,Arkansas,-91.4150458,33.5181955,,,0,0,2,0,
41367DB9,Avenal State Prison,State prison,Avenal,Kings,06031,California,-120.1233101,35.9743318,3469,4158,3108,8,532,0,
C7D46C2A,California City Correctional Facility,State prison,California City,Kern,06029,California,-117.8584365,35.1515388,2073,,1000,2,235,0,
004CF496,Calipatria State Prison,State prison,Calipatria,Imperial,06025,California,-115.4847385,33.1630656,2884,3113,1123,2,365,2,
5D1942E3,California Correctional Center,State prison,Susanville,Lassen,06035,California,-120.5143547,40.4021977,2697,3798,1366,0,295,0,
6452DAAD,California Correctional Institution,State prison,Tehachapi,Kern,06029,California,-118.5694868,35.1133011,3165,3715,1382,4,648,1,
349947ED,Central California Women’s Facility,State prison,Chowchilla,Madera,06039,California,-120.1498291,37.0898065,1981,2816,821,1,277,1,
281EA59E,"California State Prison, Centinela",State prison,Imperial,Imperial,06025,California,-115.7888117,32.8204948,3101,3346,865,1,426,1,
171135D1,California Health Care Facility prison,State facility,Stockton,San Joaquin,06077,California,-121.1864095,37.8972093,2473,,644,14,656,1,
D1937261,California Institution for Men,State prison,Chino,San Bernardino,06071,California,-117.6826422,33.981973,2341,3098,1501,27,585,2,
9EE4AD94,California Institution for Women prison,State prison,Corona,San Bernardino,06071,California,-117.6354633,33.9500896,1169,1212,489,1,359,1,
98C61AE2,California Men’s Colony prison,State prison,San Luis Obispo,San Luis Obispo,06079,California,-120.6944703,35.3253675,3244,3823,2472,10,527,0,
30BB770C,Vacaville state medical prison,State facility,Vacaville,Solano,06095,California,-121.9749219,38.3208192,2112,,712,11,344,0,
C8742A7C,Corcoran State Prison,State prison,Corcoran,Kings,06031,California,-119.554854,36.0580478,3274,3453,1075,3,735,0,
E156FD9F,California Rehabilitation Center prison,State prison,Norco,Riverside,06065,California,-117.5735217,33.9303457,2500,2589,1993,1,497,1,
550543A1,Soledad prison,State prison,Soledad,Monterey,06053,California,-121.3826401,36.470807,4374,,2719,18,355,2,
9A9CC384,Chuckawalla Valley State Prison,State prison,Blythe,Riverside,06065,California,-114.9088546,33.5628161,2017,2261,1783,9,282,1,
A9C4CC3A,Deuel Vocational Institution prison,State prison,Tracy,San Joaquin,06077,California,-121.3388954,37.7452378,1552,1577,545,0,289,1,
A869BA9E,Folsom prison,State prison,Represa,Sacramento,06067,California,-121.1637263,38.6960263,2389,2637,1369,2,218,0,
988AEE63,High Desert State Prison,State prison,Susanville,Lassen,06035,California,-120.5161431,40.4088696,3335,3572,2033,2,574,0,
368DB6EF,Ironwood State Prison,State prison,Blythe,Riverside,06065,California,-114.9267493,33.560697,2916,3205,1568,1,382,1,
FBE94D13,Kern Valley State Prison,State prison,Delano,Kern,06029,California,-119.3229667,35.7683779,3520,3643,894,6,558,0,
238D748E,Los Angeles County state prison,State prison,Lancaster,Los Angeles,06037,California,-118.2276434,34.6934153,2991,3149,1546,13,607,1,
9860F4EA,Mule Creek State Prison,State prison,Ione,Amador,06005,California,-120.9537285,38.3706309,3788,3917,1846,8,409,1,
82BCDCB5,North Kern State Prison,State prison,Delano,Kern,06029,California,-119.3096243,35.7827295,1735,2892,924,4,624,1,
936C6466,Pelican Bay State Prison,State prison,Crescent City,Del Norte,06015,California,-124.1513812,41.8548567,2348,2348,220,0,195,0,
D32A83EE,Pleasant Valley State Prison,State prison,Coalinga,Fresno,06019,California,-120.2491987,36.1296774,2858,3016,1989,3,431,0,
F881BD30,Richard J. Donovan Correctional Facility,State prison,San Diego,San Diego,06073,California,-116.9336693,32.5847726,3572,3645,1011,18,518,1,
1AF0942F,"California State Prison, Sacramento",State prison,Represa,Sacramento,06067,California,-121.152455,38.693346,2256,2363,291,0,322,0,
19DE7187,Substance Abuse Treatment Facility and State Prison,State prison,Corcoran,Kings,06031,California,-119.554854,36.0580478,4488,4531,3011,7,636,0,
FF0E9360,Sierra Conservation Center prison,State prison,Jamestown,Tuolumne,06109,California,-120.5380359,37.8934741,3145,3145,1437,0,217,0,
962F05CB,Vacaville state prison,State prison,Vacaville,Solano,06095,California,-121.9749219,38.3208192,3390,,1150,5,250,0,
8A32C1EF,San Quentin State Prison,State prison,San Quentin,Marin,06041,California,-122.4898472,37.9386291,3013,3462,2243,28,439,1,
B23AB2C6,Salinas Valley State Prison,State prison,Soledad,Monterey,06053,California,-121.3756515,36.4811757,2782,2896,684,5,601,1,
8810FABC,Valley State Prison,State prison,Chowchilla,Madera,06039,California,-120.1531236,37.1011998,2794,2813,1731,2,279,3,
DFE40673,Wasco State Prison,State prison,Wasco,Kern,06029,California,-119.4072212,35.593903,2065,2672,1762,1,539,1,
42505312,Golden State Modified Community Correctional Facility,State prison,McFarland,Kern,06029,California,-119.2278224,35.6698832,170,,0,0,12,0,
674CCC02,Shafter Modified Community Correctional Facility,State prison,Shafter,Kern,06029,California,-119.2589733,35.4954773,513,,0,0,10,0,
96F7E8B8,Taft Modified Community Correctional Facility,State prison,Taft,Kern,06029,California,-119.441562,35.134285,479,,0,0,9,0,
74FCDC0F,Delano Modified Community Correctional Facility,State prison,Delano,Kern,06029,California,-119.3044357,35.7648735,479,,0,0,22,0,
11D68FF4,McFarland Female Community Reentry Facility,State prison,McFarland,Kern,06029,California,-119.2268516,35.6681401,216,,0,0,1,0,
87C8EC0F,Work Site - Alameda County,State work camp,Alameda County,Alameda,06001,California,-122.2629326,37.8014208,,,0,0,2,0,
21DF5831,Work Site – Fresno County,State work camp,Fresno County,Fresno,06019,California,-119.7869154,36.7351741,,,0,0,21,0,
A6D7A01A,Work Site - Humboldt County,State work camp,Humboldt County,Humboldt,06023,California,-124.1597269,40.8052078,,,0,0,1,0,
1FD1AA66,Work Site - Imperial County,State work camp,Imperial County,Imperial,06025,California,-114.9633007,32.7375477,,,0,0,9,0,
21E85E7B,Work Site – Kern County,State work camp,Kern County,Kern,06029,California,-118.8596804,35.4937274,,,0,0,25,0,
65D09C69,Work Site – Los Angeles County,State work camp,Los Angeles County,Los Angeles,06037,California,-118.1501314,34.0850004,,,0,0,90,0,
E3FE8066,Work Site – Mendocino County,State work camp,Mendocino County,Mendocino,06045,California,-123.2150655,39.158923,,,0,0,2,0,
F17C9E93,Work Site - Merced County,State work camp,Merced County,Merced,06047,California,-120.4992147,37.3069019,,,0,0,2,0,
3BC6CE71,Work Site – Monterey County,State work camp,Monterey County,Monterey,06053,California,-121.65924,36.6741529,,,0,0,3,0,
1320C6CF,Work Site -- Orange County,State work camp,Orange County,Orange,06059,California,-117.8531007,33.7879139,,,0,0,14,0,
125FD347,Work Site – Riverside County,State work camp,Riverside County,Riverside,06065,California,-117.3739051,33.9779635,,,0,0,20,0,
306D4A50,Work Site – Sacramento County,State work camp,Sacramento,Sacramento,06067,California,-121.4955924,38.582708,,,0,0,277,0,
1C783C8E,Work Site – San Bernardino County,State work camp,San Bernardino,San Bernardino,06071,California,-117.2641448,34.0937423,,,0,0,69,0,
C1466578,Work Site – San Diego,State work camp,San Diego,San Diego,06073,California,-117.1257618,32.8152999,,,0,0,5,0,
547283C2,Work Site - San Francisco County,State work camp,San Francisco,San Francisco,06075,California,-122.4194155,37.7749295,,,0,0,3,0,
60EAF944,Work Site – San Joaquin,State work camp,Stockton,San Joaquin,06077,California,-121.2970274,37.9509541,,,0,0,14,0,
A7B54234,Work Site -- San Luis Obispo County,State work camp,San Luis Obispo County,San Luis Obispo,06079,California,-120.6601675,35.2821867,,,0,0,0,0,
6475CE90,Work Site -- San Mateo County,State work camp,San Mateo County,San Mateo,06081,California,-122.3150947,37.5474903,,,0,0,1,0,
3359EB8C,Work Site – Santa Barbara County,State work camp,Santa Barbara County,Santa Barbara,06083,California,-119.6982057,34.4208321,,,0,0,2,0,
2D048E4C,Work Site – Santa Clara County,State work camp,Santa Clara County,Santa Clara,06085,California,-121.8907041,37.3336581,,,0,0,5,0,
114F8E0F,Work Site – Solano County,State work camp,Solano County,Solano,06095,California,-122.0413148,38.2477736,,,0,0,4,0,
75D5EC32,Work Site – Stanislaus County,State work camp,Stanislaus County,Stanislaus,06099,California,-120.9749499,37.6052407,,,0,0,1,0,
D6F9926B,Work Site – Tulare County,State work camp,Tulare County,Tulare,06107,California,-119.3191887,36.3289163,,,0,0,2,0,
BBDDDAA7,Work Site – Ventura County,State work camp,Ventura County,Ventura,06111,California,-119.1390642,34.3704884,,,0,0,78,0,
BA489EEB,Work Site - Yolo County,State work camp,Yolo County,Yolo,06113,California,-121.7721031,38.6791299,,,0,0,2,0,
84E27D8C,California Youth Facilities,State juvenile detention,Sacramento,Sacramento,06067,California,-121.4585936,38.4978305,711,,204,0,193,0,This is a system-wide total. Facility-level data is unavailable.
84EB1D78,Arkansas Valley Correctional Facility,State prison,Ordway,Crowley,08025,Colorado,-103.8393783,38.1891403,1012,,961,4,99,0,
A2A88844,Arrowhead Correctional Center,State prison,Cañon City,Fremont,08043,Colorado,-105.1561063,38.4348311,352,528,360,1,52,0,
03079583,Bent County Correctional Facility,State prison,Las Animas,Bent,08011,Colorado,-103.2055794,38.0651921,1264,,1091,2,95,2,
5057D4F9,Buena Vista Correctional Facility,State prison,Buena Vista,Chaffee,08015,Colorado,-106.117628,38.8220069,892,1129,523,1,89,0,
5E8ED28B,Centennial Correctional Facility,State prison,Cañon City,Fremont,08043,Colorado,-105.160995,38.4227307,700,886,151,0,102,0,
7ECC9360,Colorado Correctional Center,State prison,Golden,Jefferson,08059,Colorado,-105.1726099,39.734214,70,,2,0,0,0,
625A970F,Colorado State Penitentiary,State prison,Cañon City,Fremont,08043,Colorado,-105.1579266,38.4404178,675,708,156,0,88,0,
0B0F8192,Colorado Territorial Correctional Facility,State prison,Cañon City,Fremont,08043,Colorado,-105.2494244,38.4373058,676,949,580,5,94,0,
BE51D904,Crowley County Correctional Facility,State prison,Olney Springs,Crowley,08025,Colorado,-103.9573211,38.1583862,1558,1681,908,1,45,0,
7B121D46,Delta Correctional Center,State prison,Delta,Delta,08029,Colorado,-108.1494379,38.7095746,277,,161,0,34,0,
E4909F50,Denver Reception and Diagnostic Center prison,State prison,Denver,Denver,08031,Colorado,-104.8608031,39.7670223,469,,36,1,32,0,
F1234BF2,Denver Women's Correctional Facility,State prison,Denver,Denver,08031,Colorado,-104.8628834,39.7651016,813,826,98,0,54,0,
6E40CDEE,Four Mile Correctional Center,State prison,Cañon City,Fremont,08043,Colorado,-105.1473541,38.4282875,355,526,404,1,35,0,
286372B0,Fremont Correctional Facility,State prison,Cañon City,Fremont,08043,Colorado,-105.160995,38.4227307,1406,1621,786,4,140,0,
64F3F998,La Vista Correctional Facility,State prison,Pueblo,Pueblo,08101,Colorado,-104.6297228,38.2849302,350,350,11,0,33,0,
63B9B9C3,Limon Correctional Facility,State prison,Limon,Lincoln,08073,Colorado,-103.6937878,39.2165582,876,,749,0,84,0,
86859433,Rifle Correctional Center,State prison,Rifle,Garfield,08045,Colorado,-107.7793457,39.6509808,137,,4,0,3,0,
9DE965DF,San Carlos Correctional Facility,State prison,Pueblo,Pueblo,08101,Colorado,-104.6315259,38.2799302,208,208,14,0,25,0,
1E4904C2,Skyline Correctional Center,State prison,Cañon City,Fremont,08043,Colorado,-105.160995,38.4227307,91,252,0,0,0,0,
23C68666,Sterling Correctional Center,State prison,Sterling,Logan,08075,Colorado,-103.1622541,40.6112647,2041,2041,1517,10,245,0,
EC7A836B,Trinidad Correctional Facility,State prison,Model,Las Animas,08071,Colorado,-104.3121528,37.2911252,407,,326,0,43,0,
C7BA6216,Youthful Offender System,State juvenile detention,Pueblo,Pueblo,08101,Colorado,-104.6275796,38.2787118,,,142,0,75,0,This is a system-wide total. Facility-level data is unavailable.
C39C48F8,Cheyenne Mountain Re-entry Center,State prison,Colorado Springs,El Paso,08041,Colorado,-104.8244675,38.7846957,,,2,0,0,0,
2541DDEC,Adams Transitional Center,State prison,Denver,Adams,08001,Colorado,-104.9170023,39.7860291,,,29,0,7,0,
D684E69F,Adams Youth Services Center,State juvenile detention,Brighton,Adams,08001,Colorado,-104.797006,39.988849,13,,3,0,6,0,
74694D92,Advantage Treatment Center prison-Alamosa,State rehabilitation center,Alamosa,Alamosa,08003,Colorado,-105.8696136,37.4500122,,,23,0,15,0,
886FDE7B,Advantage Treatment Center prison-Lamar,State rehabilitation center,Lamar,Logan,08075,Colorado,-103.1607289,40.6152189,,,20,0,8,0,
F5F9658C,Advantage Treatment Center prison-Logan County,State rehabilitation center,Sterling,Logan,08075,Colorado,-103.1607289,40.6152189,,,63,1,19,0,
4850C98A,Arapahoe Community Treatment Center,State rehabilitation center,Englewood,Arapahoe,08005,Colorado,-105.0292615,39.6557277,,,11,0,2,0,
0F9E3CDB,Aspire Youth Services Center facility,State juvenile detention,Golden,Jefferson,08059,Colorado,-105.2067656,39.7431613,16,,3,0,12,0,
9678E55E,Centennial Community Transition Center,State prison,Englewood,Arapahoe,08005,Colorado,-104.8209908,39.5882482,,,25,0,6,0,
F3CE58EA,Commerce Transitional Center,State prison,Commerce City,Adams,08001,Colorado,-104.9170023,39.7860291,,,3,0,1,0,
5B42E3BC,Dahlia Facility,State prison,Denver,Denver,08031,Colorado,-104.9346773,39.7807883,,,4,0,2,0,
DEB6CB91,Fox Facility,State prison,Denver,Denver,08031,Colorado,-104.9945413,39.7764453,,,7,0,2,0,
94481929,Gateway Residential Center,State rehabilitation center,Grand Junction,Mesa,08077,Colorado,-108.55542,39.070657,,,6,0,6,0,
67A60EE0,Giliam Youth Services Center,State juvenile detention,Denver,Denver,08031,Colorado,-104.9728007,39.757578,,,6,0,13,0,
D322F3DC,Henderson Transitional Center,State prison,Henderson,Tarrant,48439,Colorado,-97.3433761,32.7597274,,,10,0,10,0,
739B86D0,Intervention Community Corrections Services halfway house,State halfway house,Boulder,Boulder,08013,Colorado,-105.2674489,40.0170047,,,18,0,3,0,
979FCA67,Independence House Pecos,State halfway house,Denver,Denver,08031,Colorado,-105.0068015,39.7730903,,,34,1,8,0,
2231F1E3,Independence House South Federal,State halfway house,Denver,Denver,08031,Colorado,-105.0254223,39.6662635,,,0,1,3,0,
3B0D3987,Intervention Community Corrections Services facility,State halfway house,Greeley,Weld,08123,Colorado,-104.6976459,40.4447863,,,52,0,20,0,
F2951DE0,Mount View Youth Services Center facility,State juvenile detention,Lakewood,Jefferson,08059,Colorado,-105.0878203,39.648372,61,,21,0,36,0,
439264FE,Pueblo Youth Services Center,State juvenile detention,Pueblo,Pueblo,08101,Colorado,-104.6266174,38.2821083,15,,6,0,9,0,
158FF64E,Roberts Road Residential Facility,State halfway house,Colorado Springs,El Paso,08041,Colorado,-104.8179946,38.8834039,,,58,0,20,0,
