COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
02100,0.055,0.05,0.123,0.419,0.352
02105,0.051,0.064,0.13,0.399,0.356
02110,0.051,0.067,0.133,0.396,0.353
02122,0.043,0.047,0.051,0.197,0.662
02130,0.025,0.149,0.174,0.256,0.396
02150,0.042,0.043,0.049,0.233,0.633
02158,0.103,0.022,0.007,0.521,0.347
02164,0.055,0.036,0.04,0.299,0.571
02170,0.042,0.051,0.048,0.198,0.66
02180,0.086,0.061,0.009,0.544,0.3
02185,0.036,0.059,0.235,0.215,0.455
02188,0.035,0.188,0.051,0.474,0.252
02195,0.042,0.095,0.148,0.349,0.365
02198,0.033,0.125,0.161,0.3,0.38
02220,0.048,0.077,0.137,0.381,0.357
02230,0.058,0.038,0.116,0.435,0.354
02240,0.064,0.071,0.14,0.272,0.453
02261,0.04,0.049,0.052,0.197,0.663
02275,0.035,0.119,0.16,0.312,0.374
02282,0.047,0.012,0.078,0.381,0.481
02290,0.044,0.047,0.126,0.425,0.358
04001,0.055,0.063,0.031,0.15,0.701
04003,0.053,0.025,0.147,0.194,0.581
04005,0.039,0.08,0.07,0.11,0.702
04007,0.073,0.014,0.03,0.336,0.547
04009,0.095,0.067,0.237,0.049,0.553
04011,0.111,0.089,0.167,0.089,0.544
04012,0.031,0.064,0.162,0.173,0.57
04013,0.023,0.025,0.059,0.158,0.734
04015,0.051,0.096,0.104,0.164,0.585
04017,0.091,0.108,0.059,0.139,0.602
04019,0.023,0.024,0.073,0.121,0.759
04021,0.033,0.055,0.096,0.148,0.667
04023,0.028,0.002,0.058,0.074,0.837
04025,0.031,0.073,0.081,0.176,0.639
04027,0.008,0.013,0.046,0.129,0.804
05001,0.019,0.073,0.134,0.216,0.557
05003,0.023,0.103,0.163,0.117,0.595
05005,0.15,0.104,0.108,0.104,0.534
05007,0.081,0.034,0.083,0.16,0.643
05009,0.129,0.145,0.122,0.189,0.416
05011,0.094,0.102,0.175,0.184,0.445
05013,0.145,0.132,0.108,0.211,0.404
05015,0.111,0.068,0.115,0.129,0.577
05017,0.104,0.074,0.193,0.097,0.531
05019,0.08,0.091,0.08,0.231,0.518
05021,0.082,0.124,0.157,0.242,0.395
05023,0.036,0.065,0.093,0.259,0.546
05025,0.107,0.03,0.16,0.231,0.472
05027,0.241,0.072,0.054,0.25,0.383
05029,0.071,0.12,0.137,0.347,0.325
05031,0.078,0.123,0.138,0.341,0.32
05033,0.155,0.1,0.167,0.211,0.367
05035,0.059,0.017,0.11,0.306,0.508
05037,0.097,0.017,0.163,0.319,0.404
05039,0.197,0.055,0.093,0.196,0.459
05041,0.078,0.033,0.19,0.189,0.509
05043,0.063,0.049,0.207,0.159,0.523
05045,0.066,0.027,0.077,0.403,0.426
05047,0.149,0.079,0.245,0.187,0.34
05049,0.105,0.121,0.226,0.197,0.351
05051,0.025,0.102,0.068,0.21,0.596
05053,0.082,0.043,0.127,0.258,0.489
05055,0.062,0.141,0.154,0.346,0.297
05057,0.098,0.073,0.096,0.179,0.554
05059,0.059,0.086,0.079,0.216,0.56
05061,0.081,0.07,0.145,0.145,0.56
05063,0.137,0.156,0.088,0.179,0.44
05065,0.086,0.121,0.133,0.23,0.43
05067,0.116,0.103,0.135,0.179,0.468
05069,0.042,0.036,0.172,0.173,0.577
05071,0.144,0.103,0.205,0.221,0.328
05073,0.12,0.082,0.078,0.234,0.486
05075,0.085,0.128,0.153,0.298,0.337
05077,0.103,0.032,0.195,0.263,0.407
05079,0.035,0.016,0.194,0.201,0.554
05081,0.074,0.121,0.106,0.201,0.499
05083,0.148,0.11,0.12,0.143,0.479
05085,0.048,0.045,0.136,0.297,0.474
05087,0.075,0.088,0.159,0.114,0.564
05089,0.171,0.112,0.119,0.108,0.49
05091,0.064,0.124,0.106,0.219,0.487
05093,0.033,0.109,0.134,0.284,0.44
05095,0.068,0.128,0.127,0.271,0.406
05097,0.081,0.095,0.136,0.166,0.521
05099,0.143,0.048,0.084,0.224,0.501
05101,0.107,0.14,0.084,0.261,0.408
05103,0.151,0.097,0.06,0.242,0.449
05105,0.098,0.051,0.08,0.367,0.404
05107,0.052,0.061,0.134,0.276,0.477
05109,0.064,0.061,0.2,0.176,0.501
05111,0.077,0.098,0.141,0.287,0.397
05113,0.18,0.08,0.217,0.076,0.446
05115,0.082,0.151,0.181,0.285,0.302
05117,0.062,0.17,0.103,0.273,0.391
05119,0.028,0.027,0.126,0.175,0.644
05121,0.051,0.145,0.203,0.289,0.311
05123,0.087,0.007,0.289,0.267,0.35
05125,0.066,0.044,0.154,0.212,0.524
05127,0.155,0.14,0.124,0.123,0.458
05129,0.1,0.088,0.125,0.149,0.538
05131,0.121,0.142,0.157,0.208,0.372
05133,0.12,0.093,0.155,0.165,0.467
05135,0.067,0.158,0.22,0.222,0.333
05137,0.067,0.092,0.11,0.234,0.498
05139,0.116,0.179,0.098,0.262,0.344
05141,0.033,0.06,0.096,0.272,0.539
05143,0.034,0.028,0.101,0.186,0.651
05145,0.026,0.054,0.152,0.277,0.491
05147,0.059,0.048,0.208,0.231,0.454
05149,0.116,0.1,0.112,0.198,0.474
06001,0.019,0.008,0.055,0.123,0.795
06003,0.025,0.085,0.088,0.19,0.612
06005,0.045,0.013,0.099,0.188,0.655
06007,0.015,0.043,0.111,0.204,0.626
06009,0.045,0.019,0.098,0.276,0.562
06011,0.027,0.031,0.092,0.151,0.7
06013,0.018,0.016,0.039,0.121,0.806
06015,0.01,0.135,0.112,0.196,0.547
06017,0.028,0.042,0.072,0.183,0.675
06019,0.021,0.022,0.059,0.156,0.741
06021,0.028,0.026,0.146,0.206,0.594
06023,0.042,0.006,0.018,0.069,0.865
06025,0.001,0.005,0.03,0.128,0.836
06027,0.033,0.011,0.008,0.058,0.889
06029,0.022,0.028,0.105,0.177,0.668
06031,0.075,0.016,0.049,0.094,0.766
06033,0.003,0.004,0.007,0.136,0.849
06035,0.064,0.068,0.162,0.225,0.482
06037,0.021,0.013,0.049,0.131,0.786
06039,0.019,0.059,0.048,0.124,0.751
06041,0.011,0,0.046,0.141,0.802
06043,0.01,0.094,0.049,0.186,0.661
06045,0.002,0.003,0.004,0.222,0.77
06047,0.026,0.036,0.089,0.146,0.703
06049,0.068,0.019,0.095,0.204,0.615
06051,0.011,0.026,0.012,0.07,0.88
06053,0.023,0.006,0.066,0.141,0.763
06055,0.017,0.026,0.033,0.149,0.773
06057,0.003,0.054,0.084,0.177,0.682
06059,0.023,0.021,0.046,0.156,0.754
06061,0.012,0.023,0.072,0.201,0.693
06063,0.063,0.067,0.053,0.146,0.671
06065,0.026,0.014,0.041,0.116,0.803
06067,0.025,0.028,0.062,0.164,0.722
06069,0.018,0.004,0.063,0.175,0.739
06071,0.027,0.022,0.048,0.134,0.768
06073,0.017,0.023,0.034,0.126,0.8
06075,0.017,0.011,0.035,0.121,0.817
06077,0.054,0.019,0.081,0.165,0.68
06079,0.025,0.024,0.037,0.169,0.745
06081,0.016,0.013,0.058,0.126,0.786
06083,0.015,0.02,0.075,0.153,0.737
06085,0.015,0.014,0.04,0.168,0.764
06087,0.008,0,0.086,0.109,0.797
06089,0.095,0.056,0.071,0.232,0.547
06091,0.14,0.053,0.047,0.143,0.617
06093,0.132,0.074,0.082,0.167,0.546
06095,0.043,0.046,0.035,0.148,0.728
06097,0.022,0.012,0.022,0.149,0.795
06099,0.032,0.028,0.062,0.173,0.705
06101,0.058,0.031,0.08,0.163,0.669
06103,0.057,0.062,0.141,0.195,0.545
06105,0.081,0.07,0.055,0.201,0.592
06107,0.025,0.039,0.115,0.136,0.685
06109,0.008,0.043,0.084,0.212,0.653
06111,0.024,0.011,0.033,0.156,0.777
06113,0.007,0.005,0.04,0.156,0.791
06115,0.057,0.035,0.071,0.167,0.669
08001,0.032,0.027,0.071,0.185,0.685
08003,0.052,0.133,0.094,0.228,0.493
08005,0.013,0.026,0.065,0.193,0.703
08007,0.041,0.041,0.155,0.276,0.488
08009,0.113,0.053,0.194,0.206,0.435
08011,0.033,0.036,0.172,0.191,0.567
08013,0.008,0.015,0.032,0.195,0.75
08014,0.018,0.005,0.042,0.201,0.734
08015,0.038,0.045,0.134,0.138,0.645
08017,0.016,0.187,0.106,0.398,0.292
08019,0.002,0.015,0.138,0.123,0.723
08021,0.06,0.106,0.093,0.195,0.545
08023,0.034,0.072,0.076,0.175,0.644
08025,0.002,0.034,0.08,0.294,0.59
08027,0.017,0.098,0.153,0.234,0.498
08029,0.087,0.094,0.074,0.295,0.45
08031,0.02,0.018,0.062,0.194,0.707
08033,0.052,0.039,0.066,0.252,0.591
08035,0.013,0.041,0.081,0.192,0.673
08037,0.008,0.003,0.033,0.269,0.687
08039,0.016,0.044,0.19,0.246,0.505
08041,0.031,0.089,0.081,0.196,0.603
08043,0.006,0.069,0.062,0.2,0.663
08045,0.065,0.04,0.037,0.326,0.532
08047,0.001,0.027,0.017,0.17,0.785
08049,0.006,0.002,0.05,0.187,0.754
08051,0.057,0.039,0.043,0.281,0.581
08053,0.043,0.05,0.117,0.271,0.519
08055,0.028,0.051,0.051,0.275,0.595
08057,0.021,0.027,0.09,0.342,0.52
08059,0.028,0.031,0.075,0.194,0.673
08061,0.028,0.051,0.159,0.27,0.492
08063,0.024,0.323,0.119,0.344,0.19
08065,0.002,0.016,0.036,0.193,0.753
08067,0.043,0.02,0.122,0.274,0.541
08069,0.013,0.037,0.06,0.231,0.659
08071,0.052,0.03,0.101,0.17,0.648
08073,0.013,0.068,0.196,0.403,0.321
08075,0.078,0.202,0.101,0.368,0.251
08077,0.075,0.105,0.098,0.222,0.499
08079,0.049,0.072,0.138,0.264,0.478
08081,0.041,0.142,0.162,0.284,0.371
08083,0.057,0.019,0.081,0.257,0.586
08085,0.085,0.092,0.074,0.314,0.436
08087,0.083,0.161,0.116,0.245,0.396
08089,0.004,0.047,0.102,0.194,0.653
08091,0.06,0.08,0.069,0.295,0.495
08093,0.021,0.018,0.103,0.137,0.722
08095,0.05,0.19,0.137,0.255,0.368
08097,0.019,0.014,0.016,0.318,0.633
08099,0.079,0.046,0.205,0.201,0.469
08101,0.018,0.044,0.074,0.28,0.584
08103,0.111,0.092,0.074,0.265,0.458
08105,0.061,0.144,0.11,0.242,0.444
08107,0.008,0.036,0.092,0.375,0.489
08109,0.065,0.122,0.138,0.232,0.443
08111,0.032,0.038,0.097,0.27,0.563
08113,0.043,0.058,0.074,0.26,0.565
08115,0.065,0.162,0.138,0.267,0.368
08117,0,0.001,0.064,0.151,0.784
08119,0.105,0.087,0.066,0.145,0.597
08121,0.077,0.208,0.101,0.303,0.31
08123,0.046,0.038,0.135,0.231,0.55
08125,0.038,0.284,0.133,0.255,0.29
09001,0.027,0.019,0.06,0.114,0.78
09003,0.015,0.023,0.065,0.13,0.767
09005,0.017,0.051,0.021,0.098,0.812
09007,0.003,0.007,0.055,0.128,0.807
09009,0.023,0.014,0.053,0.115,0.795
09011,0.025,0.021,0.066,0.142,0.747
09013,0.008,0.008,0.027,0.147,0.81
09015,0.022,0.041,0.082,0.137,0.718
10001,0.026,0.006,0.106,0.051,0.811
10003,0.027,0.013,0.041,0.133,0.786
10005,0.005,0.001,0.035,0.103,0.856
11001,0.012,0.013,0.069,0.164,0.743
12001,0.001,0.024,0.053,0.17,0.751
12003,0.087,0.076,0.18,0.215,0.442
12005,0.065,0.109,0.076,0.202,0.548
12007,0.106,0.168,0.172,0.173,0.381
12009,0.068,0.073,0.096,0.157,0.607
12011,0.026,0.023,0.043,0.117,0.791
12013,0.034,0.055,0.138,0.267,0.507
12015,0.051,0.049,0.101,0.158,0.64
12017,0.09,0.036,0.087,0.178,0.609
12019,0.055,0.067,0.15,0.209,0.52
12021,0.04,0.023,0.067,0.212,0.658
12023,0.047,0.026,0.288,0.254,0.385
12027,0.023,0.064,0.056,0.142,0.715
12029,0.071,0.095,0.119,0.318,0.397
12031,0.049,0.042,0.086,0.194,0.629
12033,0.019,0.052,0.095,0.31,0.524
12035,0.079,0.05,0.113,0.157,0.602
12037,0.022,0.101,0.237,0.228,0.412
12039,0.06,0.033,0.104,0.227,0.575
12041,0.016,0.151,0.069,0.324,0.44
12043,0.047,0.082,0.098,0.096,0.677
12045,0.046,0.125,0.12,0.249,0.46
12047,0.101,0.071,0.235,0.227,0.365
12049,0.114,0.041,0.179,0.186,0.48
12051,0.046,0.042,0.112,0.15,0.65
12053,0.09,0.04,0.091,0.19,0.589
12055,0.025,0.056,0.145,0.138,0.635
12057,0.023,0.031,0.069,0.155,0.722
12059,0.17,0.077,0.081,0.111,0.562
12061,0.054,0.065,0.082,0.193,0.607
12063,0.064,0.108,0.129,0.174,0.526
12065,0.019,0.017,0.099,0.183,0.682
12067,0.102,0.081,0.22,0.208,0.389
12069,0.047,0.062,0.074,0.185,0.632
12071,0.052,0.05,0.073,0.176,0.648
12073,0.051,0.022,0.071,0.156,0.7
12075,0.017,0.132,0.072,0.187,0.592
12077,0.022,0.023,0.205,0.268,0.482
12079,0.164,0.085,0.148,0.264,0.34
12081,0.074,0.037,0.062,0.201,0.626
12083,0.046,0.087,0.121,0.203,0.543
12085,0.027,0.018,0.066,0.169,0.719
12086,0.032,0.023,0.06,0.128,0.756
12087,0.007,0.001,0.014,0.159,0.819
12089,0.09,0.07,0.147,0.223,0.47
12091,0.091,0.083,0.147,0.21,0.469
12093,0.016,0.034,0.064,0.171,0.715
12095,0.02,0.02,0.072,0.164,0.724
12097,0.025,0.022,0.058,0.176,0.72
12099,0.03,0.02,0.05,0.116,0.784
12101,0.027,0.029,0.055,0.179,0.709
12103,0.025,0.019,0.074,0.133,0.75
12105,0.05,0.063,0.085,0.172,0.63
12107,0.068,0.05,0.114,0.186,0.581
12109,0.047,0.071,0.097,0.223,0.561
12111,0.077,0.022,0.08,0.173,0.648
12113,0.047,0.068,0.166,0.265,0.453
12115,0.017,0.031,0.073,0.175,0.704
12117,0.037,0.039,0.066,0.141,0.717
12119,0.037,0.036,0.064,0.235,0.628
12121,0.105,0.055,0.244,0.227,0.369
12123,0.103,0.086,0.19,0.145,0.476
12125,0.044,0.04,0.176,0.267,0.473
12127,0.035,0.066,0.089,0.192,0.618
12129,0.032,0.092,0.172,0.275,0.429
12131,0.092,0.06,0.092,0.244,0.512
12133,0.138,0.085,0.062,0.158,0.557
13001,0.085,0.117,0.23,0.152,0.416
13003,0.059,0.1,0.179,0.217,0.445
13005,0.071,0.132,0.187,0.188,0.421
13007,0.027,0.048,0.054,0.127,0.743
13009,0.02,0.089,0.107,0.29,0.494
13011,0.136,0.103,0.125,0.238,0.399
13013,0.063,0.086,0.092,0.19,0.568
13015,0.215,0.05,0.123,0.143,0.47
13017,0.129,0.078,0.109,0.202,0.483
13019,0.073,0.098,0.156,0.214,0.46
13021,0.043,0.094,0.176,0.201,0.487
13023,0.089,0.031,0.117,0.256,0.508
13025,0.047,0.129,0.15,0.164,0.51
13027,0.092,0.165,0.124,0.235,0.385
13029,0.033,0.039,0.095,0.238,0.595
13031,0.053,0.049,0.163,0.31,0.424
13033,0.105,0.109,0.087,0.208,0.492
13035,0.125,0.037,0.144,0.163,0.53
13037,0.013,0.035,0.043,0.172,0.737
13039,0.136,0.125,0.17,0.113,0.456
13043,0.037,0.045,0.177,0.264,0.477
13045,0.089,0.133,0.154,0.168,0.457
13047,0.143,0.152,0.114,0.217,0.375
13049,0.065,0.094,0.15,0.196,0.495
13051,0.035,0.04,0.144,0.158,0.624
13053,0.061,0.072,0.108,0.214,0.545
13055,0.116,0.102,0.187,0.143,0.451
13057,0.049,0.054,0.1,0.213,0.584
13059,0.054,0.057,0.06,0.226,0.603
13061,0.028,0.066,0.12,0.223,0.562
13063,0.038,0.054,0.125,0.159,0.624
13065,0.06,0.058,0.134,0.168,0.58
13067,0.039,0.049,0.116,0.225,0.572
13069,0.085,0.124,0.164,0.222,0.404
13071,0.108,0.191,0.074,0.233,0.394
13073,0.061,0.064,0.095,0.234,0.547
13075,0.098,0.134,0.123,0.203,0.441
13077,0.105,0.053,0.183,0.204,0.455
13079,0.057,0.051,0.231,0.192,0.468
13081,0.119,0.023,0.06,0.163,0.635
13083,0.128,0.222,0.13,0.249,0.27
13085,0.049,0.09,0.128,0.162,0.571
13087,0.093,0.04,0.171,0.18,0.516
13089,0.036,0.028,0.075,0.156,0.704
13091,0.145,0.025,0.15,0.236,0.443
13093,0.077,0.034,0.058,0.204,0.627
13095,0.033,0.037,0.045,0.159,0.726
13097,0.083,0.037,0.09,0.198,0.591
13099,0.045,0.062,0.156,0.253,0.485
13101,0.097,0.073,0.182,0.202,0.446
13103,0.044,0.064,0.145,0.272,0.475
13105,0.132,0.177,0.081,0.107,0.503
13107,0.062,0.044,0.142,0.252,0.5
13109,0.03,0.078,0.229,0.29,0.372
13111,0.075,0.088,0.125,0.112,0.6
13113,0.06,0.086,0.131,0.218,0.505
13115,0.186,0.036,0.234,0.148,0.395
13117,0.035,0.048,0.083,0.193,0.641
13119,0.168,0.074,0.117,0.215,0.425
13121,0.026,0.036,0.089,0.187,0.662
13123,0.128,0.042,0.087,0.198,0.545
13125,0.156,0.066,0.107,0.13,0.541
13127,0.048,0.071,0.145,0.251,0.485
13129,0.172,0.1,0.201,0.157,0.369
13131,0.063,0.139,0.116,0.264,0.417
13133,0.062,0.046,0.057,0.176,0.658
13135,0.036,0.054,0.081,0.19,0.639
13137,0.063,0.1,0.116,0.292,0.43
13139,0.061,0.069,0.128,0.198,0.545
13141,0.043,0.111,0.102,0.168,0.575
13143,0.184,0.123,0.165,0.184,0.345
13145,0.093,0.081,0.061,0.213,0.551
13147,0.092,0.061,0.14,0.207,0.5
13149,0.126,0.094,0.166,0.144,0.471
13151,0.103,0.048,0.091,0.181,0.578
13153,0.032,0.079,0.136,0.172,0.581
13155,0.098,0.091,0.126,0.224,0.46
13157,0.125,0.085,0.117,0.24,0.434
13159,0.082,0.059,0.181,0.118,0.56
13161,0.124,0.138,0.165,0.183,0.39
13163,0.251,0.055,0.099,0.102,0.493
13165,0.114,0.053,0.084,0.261,0.488
13167,0.119,0.053,0.109,0.251,0.468
13169,0.049,0.087,0.226,0.209,0.43
13171,0.07,0.06,0.171,0.293,0.406
13173,0.102,0.07,0.145,0.181,0.502
13175,0.122,0.056,0.141,0.291,0.391
13177,0.035,0.033,0.039,0.162,0.732
13179,0.007,0.099,0.066,0.215,0.614
13181,0.073,0.104,0.111,0.233,0.479
13183,0.014,0.119,0.086,0.159,0.621
13185,0.108,0.101,0.149,0.208,0.435
13187,0.035,0.086,0.13,0.245,0.504
13189,0.072,0.053,0.123,0.265,0.488
13191,0.034,0.076,0.188,0.221,0.481
13193,0.078,0.049,0.113,0.21,0.55
13195,0.165,0.084,0.055,0.186,0.511
13197,0.084,0.12,0.167,0.196,0.433
13199,0.109,0.086,0.138,0.15,0.517
13201,0.064,0.056,0.182,0.159,0.539
13205,0.044,0.112,0.055,0.159,0.63
13207,0.072,0.035,0.184,0.253,0.455
13209,0.114,0.083,0.174,0.228,0.401
13211,0.061,0.064,0.093,0.168,0.614
13213,0.193,0.03,0.182,0.177,0.417
13215,0.063,0.073,0.083,0.225,0.555
13217,0.094,0.076,0.123,0.207,0.5
13219,0.049,0.063,0.095,0.181,0.611
13221,0.056,0.082,0.054,0.181,0.627
13223,0.097,0.068,0.108,0.233,0.494
13225,0.027,0.074,0.172,0.16,0.567
13227,0.038,0.118,0.101,0.188,0.555
13229,0.05,0.143,0.127,0.157,0.522
13231,0.059,0.06,0.147,0.192,0.542
13233,0.106,0.071,0.192,0.145,0.485
13235,0.079,0.031,0.098,0.218,0.575
13237,0.059,0.093,0.118,0.214,0.516
13239,0.053,0.15,0.095,0.163,0.538
13241,0.1,0.083,0.124,0.229,0.464
13243,0.016,0.065,0.05,0.2,0.669
13245,0.068,0.059,0.114,0.18,0.578
13247,0.058,0.078,0.115,0.216,0.534
13249,0.07,0.102,0.117,0.214,0.497
13251,0.198,0.069,0.081,0.242,0.41
13253,0.073,0.079,0.202,0.135,0.51
13255,0.072,0.038,0.179,0.202,0.509
13257,0.087,0.116,0.116,0.31,0.37
13259,0.055,0.092,0.133,0.203,0.517
13261,0.055,0.056,0.046,0.202,0.641
13263,0.168,0.08,0.089,0.171,0.492
13265,0.065,0.048,0.086,0.158,0.644
13267,0.051,0.076,0.214,0.224,0.434
13269,0.126,0.069,0.182,0.201,0.422
13271,0.156,0.075,0.134,0.208,0.427
13273,0.019,0.029,0.03,0.167,0.755
13275,0.026,0.096,0.12,0.228,0.53
13277,0.066,0.088,0.122,0.227,0.496
13279,0.097,0.069,0.179,0.226,0.429
13281,0.076,0.096,0.098,0.199,0.531
13283,0.096,0.07,0.168,0.267,0.399
13285,0.175,0.031,0.119,0.178,0.497
13287,0.141,0.042,0.094,0.175,0.547
13289,0.04,0.077,0.188,0.148,0.547
13291,0.065,0.119,0.087,0.168,0.56
13293,0.16,0.1,0.114,0.206,0.421
13295,0.144,0.164,0.117,0.21,0.366
13297,0.106,0.127,0.184,0.141,0.442
13299,0.061,0.108,0.109,0.166,0.556
13301,0.095,0.065,0.14,0.226,0.474
13303,0.104,0.07,0.053,0.157,0.617
13305,0.029,0.139,0.143,0.139,0.55
13307,0.019,0.064,0.103,0.21,0.603
13309,0.135,0.078,0.162,0.23,0.395
13311,0.057,0.064,0.099,0.347,0.433
13313,0.185,0.068,0.203,0.142,0.403
13315,0.173,0.017,0.083,0.157,0.569
13317,0.08,0.086,0.114,0.172,0.548
13319,0.039,0.062,0.141,0.224,0.534
13321,0.069,0.056,0.083,0.187,0.605
15001,0.01,0.032,0.037,0.122,0.799
15003,0.011,0.012,0.027,0.151,0.798
15005,0.026,0.013,0.032,0.08,0.85
15007,0,0.021,0.046,0.108,0.825
15009,0.034,0.016,0.025,0.122,0.803
16001,0.118,0.078,0.084,0.194,0.526
16003,0.094,0.216,0.218,0.218,0.254
16005,0.084,0.193,0.176,0.195,0.352
16007,0.151,0.12,0.102,0.243,0.385
16009,0.038,0.059,0.15,0.152,0.601
16011,0.095,0.197,0.175,0.229,0.304
16013,0.155,0.107,0.102,0.13,0.506
16015,0.057,0.038,0.038,0.549,0.318
16017,0.088,0.116,0.119,0.241,0.436
16019,0.096,0.202,0.188,0.247,0.268
16021,0.045,0.171,0.061,0.185,0.537
16023,0.107,0.213,0.159,0.222,0.298
16025,0.186,0.03,0.047,0.098,0.639
16027,0.113,0.095,0.17,0.24,0.381
16029,0.1,0.181,0.191,0.202,0.326
16031,0.134,0.223,0.102,0.149,0.392
16033,0.119,0.228,0.196,0.239,0.218
16035,0.037,0.112,0.127,0.25,0.475
16037,0.069,0.029,0.199,0.244,0.458
16039,0.206,0.044,0.038,0.173,0.539
16041,0.131,0.118,0.085,0.256,0.41
16043,0.111,0.206,0.202,0.247,0.233
16045,0.119,0.136,0.111,0.198,0.436
16047,0.211,0.202,0.089,0.153,0.345
16049,0.045,0.094,0.164,0.275,0.423
16051,0.099,0.208,0.192,0.249,0.252
16053,0.175,0.219,0.096,0.167,0.343
16055,0.146,0.105,0.17,0.22,0.359
16057,0.002,0.012,0.066,0.328,0.592
16059,0.109,0.173,0.231,0.125,0.362
16061,0.027,0.073,0.157,0.285,0.459
16063,0.18,0.2,0.105,0.135,0.379
16065,0.101,0.207,0.196,0.25,0.245
16067,0.134,0.219,0.106,0.152,0.39
16069,0.009,0.03,0.117,0.326,0.517
16071,0.083,0.173,0.153,0.185,0.406
16073,0.123,0.137,0.146,0.171,0.423
16075,0.081,0.199,0.174,0.242,0.304
16077,0.078,0.205,0.152,0.185,0.381
16079,0.068,0.144,0.299,0.147,0.342
16081,0.099,0.189,0.19,0.25,0.272
16083,0.166,0.222,0.101,0.177,0.335
16085,0.041,0.118,0.102,0.378,0.361
16087,0.136,0.13,0.324,0.172,0.239
17001,0.18,0.092,0.189,0.19,0.35
17003,0.11,0.082,0.148,0.262,0.398
17005,0.07,0.055,0.108,0.218,0.549
17007,0.025,0.006,0.065,0.244,0.66
17009,0.18,0.099,0.136,0.2,0.385
17011,0.012,0.019,0.156,0.208,0.605
17013,0.082,0.06,0.219,0.366,0.273
17015,0.03,0.064,0.12,0.19,0.596
17017,0.103,0.08,0.19,0.187,0.441
17019,0,0.067,0.08,0.192,0.661
