SEX,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
0,43,4105105,4105285,4093285,4078457,4157098,4379162,4319265,4083850,3907854,3850531,3973483,3854040
0,44,4211496,4211684,4177952,4088648,4074786,4152699,4375450,4317474,4082421,3905385,3845646,3967275
0,45,4508868,4509044,4438000,4171392,4083445,4068840,4147532,4371112,4313188,4077414,3898596,3837909
0,46,4519761,4519941,4529194,4429559,4164199,4076067,4062255,4141749,4365052,4305935,4068551,3889372
0,47,4535265,4535450,4534994,4518765,4420397,4155470,4068585,4055387,4134775,4356263,4295362,4058038
0,48,4538796,4538968,4534165,4522525,4507426,4409255,4145797,4059893,4046714,4124824,4344044,4282657
0,49,4605901,4606060,4598583,4519850,4509218,4494101,4397069,4135111,4049463,4035771,4111972,4329775
0,50,4660295,4660457,4645689,4582117,4504724,4493641,4479191,4383161,4122087,4036095,4021129,4096572
0,51,4464631,4464779,4498526,4627614,4564517,4486720,4476281,4462685,4367488,4106675,4019585,4004343
0,52,4500846,4500963,4480160,4478988,4607874,4544358,4467724,4458166,4444936,4349788,4088748,4001782
0,53,4380354,4380489,4439014,4458856,4457963,4586306,4523245,4447639,4438043,4424299,4328970,4068851
0,54,4291999,4292120,4288067,4416050,4436389,4435170,4563253,4500628,4425283,4415276,4400749,4305603
0,55,4254709,4254809,4258545,4263777,4391667,4411473,4410443,4538441,4475490,4399955,4389077,4374565
0,56,4037513,4037601,4092793,4233221,4238325,4364534,4384452,4383779,4511556,4448203,4371950,4361016
0,57,3936386,3936450,3946199,4066454,4206336,4210457,4335908,4355834,4355282,4482211,4417813,4342385
0,58,3794928,3795015,3802133,3918867,4038875,4176885,4180851,4305438,4325310,4324223,4449262,4385570
0,59,3641269,3641349,3693990,3773861,3890472,4008522,4145881,4149449,4272724,4291724,4289580,4413855
0,60,3621131,3621214,3616436,3664938,3744191,3859173,3976405,4112746,4115514,4236920,4254388,4252663
0,61,3492596,3492656,3519888,3586380,3634139,3711821,3825701,3941754,4076904,4078580,4197441,4215172
0,62,3563182,3563260,3494867,3487750,3554183,3600431,3677408,3790011,3904795,4038225,4038371,4156645
0,63,3483884,3483943,3651970,3459686,3453473,3518772,3564597,3640427,3751734,3864653,3995629,3996088
0,64,2657131,2657194,2705897,3612778,3422763,3415735,3481789,3526289,3600490,3710075,3820738,3950578
0,65,2680761,2680815,2678332,2674388,3571867,3382530,3376670,3441926,3485374,3557852,3664838,3774597
0,66,2639141,2639209,2621200,2644949,2641359,3527156,3340649,3334811,3399710,3441715,3511843,3618069
0,67,2649365,2649426,2693584,2585082,2609571,2605415,3480104,3295666,3290367,3354577,3394794,3464437
0,68,2323672,2323736,2359713,2652967,2546536,2571021,2567511,3429944,3248029,3242657,3305114,3345475
0,69,2142324,2142381,2167750,2320909,2610071,2504738,2530460,2526801,3376173,3196430,3190630,3252423
0,70,2043121,2043178,2062466,2128978,2280469,2563695,2461426,2486399,2483369,3318392,3141469,3136704
0,71,1949323,1949391,1953486,2022302,2089040,2236694,2516392,2414320,2440774,2436899,3256743,3083083
0,72,1864275,1864324,1883725,1911768,1980767,2045286,2191642,2463978,2365831,2391538,2387218,3191048
0,73,1736960,1737022,1750237,1839617,1868543,1935198,2000102,2141464,2409821,2313358,2338843,2334433
0,74,1684487,1684563,1685936,1705176,1793992,1821131,1888141,1949879,2089859,2351361,2257691,2283164
0,75,1620077,1620158,1631850,1638392,1658787,1744077,1772432,1836120,1898266,2033951,2288885,2198286
0,76,1471070,1471157,1481687,1581264,1589317,1607991,1692960,1718677,1782609,1842454,1974261,2222392
0,77,1455330,1455414,1449156,1430846,1529111,1535682,1555971,1636506,1663500,1725054,1783292,1911261
0,78,1400123,1400205,1402199,1394624,1378596,1472207,1480735,1498661,1578695,1604180,1664122,1720817
0,79,1371195,1371312,1354926,1343872,1338588,1321640,1414010,1420466,1440053,1516532,1541515,1599909
0,80,1308511,1308608,1319723,1292555,1283870,1277561,1263540,1350324,1358823,1377005,1450820,1475278
0,81,1212865,1212976,1212519,1252415,1228453,1218793,1215634,1200209,1285298,1292742,1310691,1381641
0,82,1161421,1161546,1158188,1143567,1183563,1159110,1152926,1148098,1135564,1215783,1223611,1241341
0,83,1074809,1074941,1081226,1084658,1073199,1109098,1089054,1081183,1079467,1066792,1143041,1151190
0,84,985721,985854,986814,1004493,1010027,997485,1034418,1013458,1008948,1006959,995618,1067757
0,85,914723,914871,914842,908494,927337,930550,922398,954664,937939,933197,932507,922467
0,86,814211,814341,821428,834114,830572,846127,852675,843182,875790,859615,856172,856646
0,87,712908,713046,721149,740788,754700,749538,767609,771610,765842,795017,781145,778923
0,88,640619,640765,636650,642674,662480,673270,672433,687017,693336,687486,714808,703078
0,89,537998,538160,546248,559656,567505,583346,596951,594305,610099,614987,610666,635982
0,90,435563,435695,448417,473596,486948,492709,510281,520698,520782,534178,539372,536447
0,91,344987,345128,344555,382497,406038,415817,424834,438523,450056,449297,461887,467172
0,92,281389,281498,288965,289188,322223,341169,352528,359346,373146,382476,382414,394067
0,93,216978,217087,219192,238035,239592,265470,284642,292623,300773,311689,320359,320785
0,94,169449,169525,170904,176717,193338,193974,217013,232203,240128,246766,256353,264277
0,95,129717,129792,131195,135101,140263,153120,155992,173006,187214,192745,198913,207086
0,96,95223,95288,97259,101295,105060,108285,120427,122315,136011,147449,151823,157463
0,97,68138,68168,68966,73267,76840,79369,82948,92078,94732,104068,113716,116969
0,98,45900,45938,47086,50654,54192,56508,59546,61585,69464,71571,77943,86150
0,99,32266,32289,32214,33604,36514,38797,41277,43276,45030,50969,53184,57124
0,100,53364,53412,54437,57513,61035,64898,70685,75449,81199,85663,93038,100322
0,999,308745538,308758105,309321666,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,328239523
1,0,2014276,2014278,2018474,2028430,2007742,2009723,2024511,2037646,2021375,1991761,1951663,1935117
1,1,2030853,2030861,2020235,2025272,2035213,2015723,2018511,2033686,2046917,2030158,1999022,1958585
1,2,2092198,2092202,2088545,2026392,2031333,2042266,2023752,2027455,2042821,2055454,2037249,2005544
1,3,2104550,2104555,2101149,2093789,2031550,2037080,2049250,2031603,2035822,2050601,2061889,2043010
1,4,2077550,2077556,2084214,2105836,2098502,2036786,2043524,2056372,2039292,2042956,2056431,2066951
1,5,2072094,2072102,2076481,2089022,2110631,2103606,2042790,2050288,2063743,2046169,2048510,2061200
1,6,2075319,2075330,2079365,2081475,2093845,2115669,2109355,2049274,2057368,2070343,2051501,2052956
1,7,2057076,2057082,2063100,2084118,2086089,2098702,2121426,2115674,2056162,2063821,2075612,2055735
1,8,2065453,2065459,2054386,2067751,2088714,2090824,2104331,2127652,2122435,2062510,2069100,2079723
1,9,2119696,2119702,2106966,2058990,2072429,2093577,2096379,2110642,2134371,2128762,2067901,2073148
1,10,2135996,2136007,2142102,2111575,2063702,2077248,2099044,2102623,2117362,2140695,2134236,2071778
1,11,2103264,2103284,2104757,2146781,2116386,2068627,2082837,2105201,2109229,2123508,2145916,2138037
1,12,2100145,2100156,2103618,2109450,2151622,2121390,2074284,2088989,2111926,2115480,2128762,2149819
1,13,2104914,2104932,2104884,2108623,2114472,2156778,2127295,2080713,2096018,2118463,2120973,2132987
1,14,2135543,2135596,2122845,2110350,2114017,2120133,2163481,2134488,2088194,2102915,2124277,2125640
1,15,2177022,2177104,2170350,2129048,2116422,2120554,2128005,2171852,2143008,2096137,2109588,2129720
1,16,2216034,2216153,2214887,2178470,2136925,2124732,2129926,2137757,2181895,2152331,2103902,2116165
1,17,2263153,2263294,2252696,2226108,2189185,2147890,2136674,2142167,2150433,2193641,2161972,2112553
1,18,2305473,2305664,2305381,2265781,2238578,2202317,2162067,2151946,2157283,2164276,2205183,2172385
1,19,2341984,2342296,2334580,2320062,2279599,2252503,2217880,2178811,2166851,2171262,2175318,2214784
1,20,2308319,2308579,2331576,2348608,2335652,2293011,2266443,2233230,2192342,2178179,2179409,2183139
1,21,2223198,2223396,2240829,2344284,2366487,2349719,2307026,2282100,2247247,2203473,2186075,2187086
1,22,2177797,2178023,2187886,2252078,2361027,2382114,2365020,2324231,2298202,2260438,2212466,2195296
1,23,2140799,2141015,2150723,2198226,2267414,2375526,2398094,2382519,2340787,2311190,2269410,2221758
1,24,2164063,2164238,2161068,2160395,2212147,2280370,2389695,2414497,2397259,2352507,2318805,2277473
1,25,2161308,2161475,2176872,2169555,2173734,2223785,2293154,2404957,2429189,2408439,2359458,2325853
1,26,2097088,2097305,2102080,2184339,2182143,2184668,2236230,2307814,2418731,2440127,2415263,2365886
1,27,2140651,2140841,2134938,2109020,2195584,2192738,2196861,2250536,2321256,2429026,2446459,2421270
1,28,2118605,2118796,2134757,2141229,2119179,2204716,2203973,2210803,2263237,2330947,2434758,2451756
1,29,2117939,2118098,2112104,2140469,2150849,2128019,2215152,2217199,2223146,2272664,2336570,2439805
1,30,2160802,2160945,2167197,2117055,2148754,2158981,2137789,2227196,2228761,2232060,2277708,2340865
1,31,1988155,1988284,2026210,2171425,2124091,2155665,2167380,2149207,2237451,2236927,2236508,2281327
1,32,1994476,1994606,1985915,2029606,2177586,2130183,2162988,2177670,2158725,2244791,2240956,2239886
1,33,1936863,1936983,1963362,1989129,2034534,2182397,2136230,2171751,2186077,2165132,2247904,2243280
1,34,1916204,1916311,1908478,1965744,1993628,2038339,2187295,2143768,2178768,2191323,2167258,2249252
1,35,1980916,1981032,1974384,1910494,1969656,1996920,2042247,2193398,2149440,2182394,2192085,2167622
1,36,1890595,1890693,1907110,1975511,1913284,1971608,1999878,2046984,2197620,2151639,2182407,2191368
1,37,1953386,1953488,1934224,1907660,1977628,1914850,1973855,2003924,2050259,2199204,2151197,2181162
1,38,2049720,2049866,2027725,1934009,1909168,1978571,1916729,1976958,2006645,2051139,2197885,2149359
1,39,2167405,2167500,2148376,2027326,1934667,1909770,1980094,1919191,1978902,2007158,2049702,2195430
1,40,2191249,2191367,2189169,2146439,2027113,1934381,1910458,1981646,1920356,1978497,2004896,2046663
1,41,2047818,2047931,2073642,2186061,2145196,2026212,1934049,1911346,1981958,1919588,1975977,2001502
1,42,2028653,2028755,2031512,2070467,2183944,2143029,2025176,1934047,1911380,1980704,1916967,1972584
1,43,2035990,2036118,2030704,2028037,2067625,2180536,2140743,2024317,1933036,1909671,1977480,1913289
1,44,2090267,2090388,2074286,2026684,2024705,2063864,2177253,2138819,2022431,1930498,1905847,1973101
1,45,2237450,2237564,2201602,2069051,2022713,2020098,2059693,2173659,2135071,2018318,1925464,1900492
1,46,2230982,2231099,2238507,2195447,2064075,2017467,2015105,2055220,2168933,2129798,2012115,1919298
1,47,2238248,2238371,2237697,2231275,2189210,2057945,2012086,2010142,2050041,2162731,2122718,2005221
1,48,2237734,2237859,2235042,2229164,2223568,2181521,2051253,2006144,2004055,2043303,2154737,2114614
1,49,2264671,2264793,2262187,2225431,2220297,2214626,2173307,2044049,1999132,1996817,2035020,2145730
1,50,2300354,2300471,2290606,2251372,2215498,2209926,2204826,2164211,2035354,1990382,1987438,2025376
1,51,2190766,2190860,2209562,2278720,2239754,2203729,2198637,2194108,2153938,2025426,1979853,1976883
1,52,2207246,2207331,2196942,2196842,2265929,2226815,2191544,2187019,2182466,2142574,2013976,1968619
1,53,2141354,2141451,2170734,2182975,2183254,2251960,2213244,2178566,2173868,2169029,2129225,2001325
1,54,2093554,2093639,2091450,2155731,2168516,2168596,2237015,2198470,2164002,2159267,2154027,2114408
1,55,2073473,2073546,2075004,2075671,2139997,2152468,2152616,2220886,2182301,2147855,2142691,2137586
1,56,1956141,1956202,1984275,2058469,2059164,2122609,2134990,2135476,2203669,2164843,2130204,2125123
1,57,1905355,1905398,1909834,1967228,2040962,2041380,2104109,2116678,2117206,2185083,2145834,2111795
1,58,1834808,1834863,1838532,1892065,1949424,2022021,2022236,2084670,2097127,2097500,2164372,2125774
1,59,1753871,1753929,1779355,1820261,1873689,1929868,2001946,2001980,2063789,2075620,2075698,2142211
1,60,1745507,1745559,1742090,1760594,1801249,1853735,1909232,1980585,1980277,2040951,2052288,2052677
1,61,1679077,1679114,1691296,1723015,1740996,1780760,1832255,1887004,1957574,1956852,2016414,2027951
1,62,1712692,1712746,1678966,1671441,1702808,1719700,1758688,1809531,1863642,1933173,1931909,1991220
1,63,1672329,1672362,1753805,1657416,1650486,1680534,1696966,1735254,1785455,1838568,1906756,1905842
1,64,1267895,1267924,1291769,1730174,1635093,1627262,1657468,1672968,1710189,1759632,1811445,1879040
1,65,1273310,1273339,1272599,1272674,1705544,1610777,1603525,1633022,1647666,1683898,1731971,1783428
1,66,1248276,1248309,1239730,1252639,1252879,1678735,1585782,1578179,1607266,1621183,1656119,1703888
1,67,1248906,1248938,1270085,1218400,1231474,1231442,1650800,1558844,1551600,1580214,1593070,1627863
1,68,1087296,1087339,1105657,1246205,1195722,1208751,1208893,1621002,1530621,1523322,1550966,1564129
1,69,994759,994797,1006740,1083127,1221247,1171554,1184909,1184845,1589376,1500466,1493081,1520465
1,70,945611,945642,954011,984581,1060015,1194603,1146390,1159351,1159546,1555995,1468761,1462120
1,71,900148,900187,903193,931278,961908,1035021,1167386,1119346,1133067,1132830,1520591,1435378
1,72,853726,853749,862490,879727,907894,937172,1009237,1137525,1091640,1104996,1104474,1483236
1,73,787863,787903,794615,837938,855507,882397,911716,980959,1106903,1062058,1075270,1074771
1,74,756624,756661,758805,769821,812693,829198,856210,883882,952149,1074347,1031059,1044301
1,75,721008,721040,725648,732875,744422,785326,802226,827643,855489,921394,1039916,998390
1,76,647804,647847,653554,698428,706329,716910,757396,772943,798554,825248,888872,1003690
1,77,631884,631915,630859,626540,670628,677682,688946,727116,743149,767666,793433,854930
1,78,602458,602490,602784,602282,598983,640661,648503,658552,696231,711430,735169,760170
1,79,579234,579284,573879,572620,573200,569368,610218,616966,627670,663465,678228,701319
1,80,543559,543595,549207,542150,541941,541973,539342,577443,585017,594980,629215,643638
1,81,494870,494914,496002,515531,509869,509094,510456,507160,544272,551242,560929,593628
1,82,462983,463020,462695,462132,481506,475493,476098,476741,474652,509339,516271,525766
1,83,419831,419882,422874,427522,428143,445431,441139,440956,442897,440632,473211,480165
1,84,373131,373169,375568,387107,392498,392390,409758,404993,406077,407835,405936,436527
1,85,336819,336856,337577,340237,351909,356145,357527,372726,369517,370369,372486,371082
1,86,293120,293149,295335,302468,305927,315860,321150,321832,336780,333632,334727,337306
1,87,249803,249840,253611,261388,268803,271248,281668,285851,287642,300879,298364,299845
1,88,217436,217472,216238,221563,229296,235278,238929,247708,252468,253925,266018,264191
1,89,176689,176731,180508,186006,191703,197825,204581,207332,216017,220002,221622,232649
1,90,136948,136985,141449,152981,158312,162950,169506,175047,178266,185635,189376,191220
1,91,103799,103826,104351,117737,128197,132138,137534,142774,148319,150839,157406,160941
1,92,81072,81101,83529,85403,96761,105242,109487,114011,119003,123545,125813,131684
1,93,59037,59063,60248,66981,69018,77739,85808,88959,93480,97363,101321,103415
1,94,43531,43541,43883,47250,52976,54512,61989,68568,71427,75157,78393,81893
1,95,30951,30967,31785,33680,36519,40871,42816,48328,54153,56115,59318,61994
1,96,21424,21432,22059,23857,25458,27473,31340,32923,37137,41824,43250,46046
1,97,14556,14563,14801,16144,17619,18699,20541,23470,25023,27792,31616,32611
1,98,9259,9263,9519,10576,11631,12642,13659,14974,17342,18593,20350,23543
1,99,6073,6075,6116,6609,7438,8125,9032,9716,10752,12480,13608,14596
1,100,9162,9166,9357,10086,10995,12081,13577,15140,16818,18550,20885,23472
1,999,151781326,151788777,152074758,153200058,154374397,155481926,156654424,157856394,159021785,160045920,160885734,161657324
2,0,1929877,1929882,1932956,1934662,1918828,1921535,1930276,1946335,1933398,1902229,1863680,1847935
2,1,1947217,1947229,1937495,1940953,1942336,1926975,1930380,1939447,1955986,1942553,1909808,1871014
2,2,2004731,2004737,2002076,1944262,1947592,1949474,1934959,1938866,1948528,1964591,1949783,1916500
2,3,2014490,2014496,2010539,2007855,1949981,1953937,1956678,1942748,1947162,1956345,1971149,1955655
2,4,1985620,1985630,1993132,2015652,2012988,1955716,1960508,1963920,1950458,1954324,1962288,1976372
2,5,1984764,1984770,1988040,1998032,2020418,2018270,1961786,1967301,1971290,1957283,1959933,1967081
2,6,1991062,1991082,1993539,1993056,2002786,2025457,2024017,1968114,1974200,1977675,1962556,1964271
2,7,1973503,1973512,1979890,1998703,1998086,2008054,2031240,2030198,1974726,1980318,1982758,1966584
2,8,1981033,1981038,1971115,1985022,2003845,2003689,2014018,2037381,2036413,1980414,1985136,1986471
2,9,2028657,2028667,2018346,1976329,1990297,2009475,2009689,2020245,2043524,2042051,1985278,1988726
2,10,2036545,2036552,2044855,2023700,1981743,1995722,2015514,2016098,2026822,2049591,2047367,1989162
2,11,2011151,2011159,2010658,2050346,2029338,1987192,2001620,2021568,2022513,2032786,2054730,2051224
2,12,2006098,2006105,2009612,2016274,2056039,2034851,1992903,2007613,2027943,2028464,2037934,2058568
2,13,2013099,2013123,2014653,2015188,2021656,2061499,2040800,1999379,2014533,2034410,2034103,2042234
2,14,2030439,2030463,2022622,2020511,2020770,2027450,2067872,2047705,2006781,2021482,2040331,2038819
2,15,2065798,2065842,2060501,2029232,2026735,2027258,2034823,2075905,2056081,2014532,2028123,2045739
2,16,2100105,2100158,2098149,2068223,2036584,2034495,2035999,2043984,2085234,2064678,2021917,2034255
2,17,2132142,2132181,2123434,2108044,2077863,2046345,2045266,2047162,2055450,2095915,2073767,2029872
2,18,2195382,2195450,2184954,2135439,2119630,2089550,2059277,2058607,2060836,2068226,2106545,2083442
2,19,2243250,2243405,2236167,2198074,2147693,2131812,2102909,2072829,2072199,2073599,2078346,2115655
2,20,2210810,2210977,2236375,2249479,2210631,2159505,2144467,2116041,2085734,2084088,2082669,2086544
2,21,2131096,2131207,2146584,2249762,2262957,2223571,2173240,2158539,2129507,2097874,2093452,2091237
2,22,2086845,2086923,2098444,2160911,2264179,2277560,2239095,2189241,2173820,2143361,2108756,2103476
2,23,2057772,2057844,2065801,2113845,2175939,2279500,2294201,2256306,2205938,2189206,2155373,2119886
2,24,2085300,2085371,2082012,2081610,2129527,2191358,2296658,2311946,2273771,2222005,2201671,2167045
2,25,2101042,2101108,2111998,2098160,2097367,2144936,2208092,2314586,2329861,2289891,2234325,2213205
2,26,2055217,2055293,2058239,2127121,2112998,2112322,2160935,2225798,2332075,2345692,2301893,2245334
2,27,2108218,2108291,2101693,2072215,2141291,2127054,2127935,2178130,2243014,2347763,2357474,2312599
2,28,2096644,2096706,2112375,2114658,2085170,2153980,2141274,2143756,2194334,2257331,2358252,2366969
2,29,2105137,2105194,2097821,2123762,2126133,2096829,2167038,2155619,2158250,2207056,2266509,2366339
2,30,2124866,2124932,2136630,2107849,2133834,2136839,2109158,2180452,2168817,2169624,2215152,2273519
2,31,1982063,1982132,2015943,2145409,2116673,2142681,2147071,2120889,2192162,2178857,2176604,2220984
2,32,1992371,1992435,1981232,2023524,2153047,2124301,2151219,2157131,2131389,2200919,2184999,2181619
2,33,1943287,1943335,1969714,1987958,2030325,2159798,2131991,2160401,2167106,2139826,2206709,2189693
2,34,1923012,1923061,1913256,1975827,1994079,2036219,2166689,2140535,2169656,2175017,2145351,2210880
2,35,1975518,1975593,1973470,1918802,1981173,1999361,2041918,2174027,2148196,2176080,2179365,2148244
2,36,1911492,1911543,1922593,1978063,1923571,1985882,2004540,2048091,2180194,2153094,2178997,2181076
2,37,1981059,1981105,1961993,1926500,1982198,1927787,1990584,2010057,2053238,2184235,2155169,2180124
2,38,2072160,2072223,2051930,1965266,1930040,1985704,1932127,1995577,2014931,2057095,2186317,2156217
2,39,2197391,2197449,2175458,2054401,1968104,1932840,1989243,1936493,1999974,2018267,2058898,2186919
2,40,2192025,2192083,2197656,2177053,2056368,1970063,1935367,1992527,1939995,2002355,2019210,2058650
2,41,2067167,2067224,2089295,2198606,2178015,2057646,1971748,1938221,1995458,1942242,2002979,2018752
2,42,2047451,2047505,2050698,2089536,2198919,2178476,2058648,1973791,1940397,1996977,1942294,2002157
2,43,2069115,2069167,2062581,2050420,2089473,2198626,2178522,2059533,1974818,1940860,1996003,1940751
2,44,2121229,2121296,2103666,2061964,2050081,2088835,2198197,2178655,2059990,1974887,1939799,1994174
2,45,2271418,2271480,2236398,2102341,2060732,2048742,2087839,2197453,2178117,2059096,1973132,1937417
2,46,2288779,2288842,2290687,2234112,2100124,2058600,2047150,2086529,2196119,2176137,2056436,1970074
2,47,2297017,2297079,2297297,2287490,2231187,2097525,2056499,2045245,2084734,2193532,2172644,2052817
2,48,2301062,2301109,2299123,2293361,2283858,2227734,2094544,2053749,2042659,2081521,2189307,2168043
2,49,2341230,2341267,2336396,2294419,2288921,2279475,2223762,2091062,2050331,2038954,2076952,2184045
2,50,2359941,2359986,2355083,2330745,2289226,2283715,2274365,2218950,2086733,2045713,2033691,2071196
2,51,2273865,2273919,2288964,2348894,2324763,2282991,2277644,2268577,2213550,2081249,2039732,2027460
2,52,2293600,2293632,2283218,2282146,2341945,2317543,2276180,2271147,2262470,2207214,2074772,2033163
2,53,2239000,2239038,2268280,2275881,2274709,2334346,2310001,2269073,2264175,2255270,2199745,2067526
2,54,2198445,2198481,2196617,2260319,2267873,2266574,2326238,2302158,2261281,2256009,2246722,2191195
2,55,2181236,2181263,2183541,2188106,2251670,2259005,2257827,2317555,2293189,2252100,2246386,2236979
2,56,2081372,2081399,2108518,2174752,2179161,2241925,2249462,2248303,2307887,2283360,2241746,2235893
2,57,2031031,2031052,2036365,2099226,2165374,2169077,2231799,2239156,2238076,2297128,2271979,2230590
2,58,1960120,1960152,1963601,2026802,2089451,2154864,2158615,2220768,2228183,2226723,2284890,2259796
2,59,1887398,1887420,1914635,1953600,2016783,2078654,2143935,2147469,2208935,2216104,2213882,2271644
2,60,1875624,1875655,1874346,1904344,1942942,2005438,2067173,2132161,2135237,2195969,2202100,2199986
2,61,1813519,1813542,1828592,1863365,1893143,1931061,1993446,2054750,2119330,2121728,2181027,2187221
2,62,1850490,1850514,1815901,1816309,1851375,1880731,1918720,1980480,2041153,2105052,2106462,2165425
2,63,1811555,1811581,1898165,1802270,1802987,1838238,1867631,1905173,1966279,2026085,2088873,2090246
2,64,1389236,1389270,1414128,1882604,1787670,1788473,1824321,1853321,1890301,1950443,2009293,2071538
2,65,1407451,1407476,1405733,1401714,1866323,1771753,1773145,1808904,1837708,1873954,1932867,1991169
2,66,1390865,1390900,1381470,1392310,1388480,1848421,1754867,1756632,1792444,1820532,1855724,1914181
2,67,1400459,1400488,1423499,1366682,1378097,1373973,1829304,1736822,1738767,1774363,1801724,1836574
2,68,1236376,1236397,1254056,1406762,1350814,1362270,1358618,1808942,1717408,1719335,1754148,1781346
2,69,1147565,1147584,1161010,1237782,1388824,1333184,1345551,1341956,1786797,1695964,1697549,1731958
