county,state,population2013,Core_Based_Statistical_Area
Fauquier,Virginia,67207,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Floyd,Virginia,15528,"Blacksburg-Christiansburg, VA Metropolitan Statistical Area"
Fluvanna,Virginia,25977,"Charlottesville, VA Metropolitan Statistical Area"
Franklin,Virginia,56335,"Roanoke, VA Metropolitan Statistical Area"
Frederick,Virginia,81319,"Winchester, VA-WV Metropolitan Statistical Area"
Giles,Virginia,16925,"Blacksburg-Christiansburg, VA Metropolitan Statistical Area"
Gloucester,Virginia,36834,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area"
Goochland,Virginia,21626,"Richmond, VA Metropolitan Statistical Area"
Grayson,Virginia,15161,
Greene,Virginia,18804,"Charlottesville, VA Metropolitan Statistical Area"
Greensville,Virginia,11886,
Halifax,Virginia,35401,
Hanover,Virginia,101330,"Richmond, VA Metropolitan Statistical Area"
Henrico,Virginia,318611,"Richmond, VA Metropolitan Statistical Area"
Henry,Virginia,52617,"Martinsville, VA Micropolitan Statistical Area"
Highland,Virginia,2215,
Isle of Wight,Virginia,35656,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area"
James City,Virginia,70516,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area"
King and Queen,Virginia,7130,
King George,Virginia,24926,
King William,Virginia,16097,"Richmond, VA Metropolitan Statistical Area"
Lancaster,Virginia,11148,
Lee,Virginia,25185,
Loudoun,Virginia,349679,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Louisa,Virginia,33945,
Lunenburg,Virginia,12527,
Madison,Virginia,13200,
Mathews,Virginia,8897,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area"
Mecklenburg,Virginia,31426,
Middlesex,Virginia,10762,
Montgomery,Virginia,96207,"Blacksburg-Christiansburg, VA Metropolitan Statistical Area"
Nelson,Virginia,14789,"Charlottesville, VA Metropolitan Statistical Area"
New Kent,Virginia,19507,"Richmond, VA Metropolitan Statistical Area"
Northampton,Virginia,12125,
Northumberland,Virginia,12200,
Nottoway,Virginia,15773,
Orange,Virginia,34689,
Page,Virginia,23821,
Patrick,Virginia,18368,
Pittsylvania,Virginia,62426,"Danville, VA Micropolitan Statistical Area"
Powhatan,Virginia,28259,"Richmond, VA Metropolitan Statistical Area"
Prince Edward,Virginia,22802,
Prince George,Virginia,37253,"Richmond, VA Metropolitan Statistical Area"
Prince William,Virginia,438580,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Pulaski,Virginia,34507,"Blacksburg-Christiansburg, VA Metropolitan Statistical Area"
Rappahannock,Virginia,7478,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Richmond,Virginia,8953,
Roanoke,Virginia,93524,"Roanoke, VA Metropolitan Statistical Area"
Rockbridge,Virginia,22307,
Rockingham,Virginia,77741,"Harrisonburg, VA Metropolitan Statistical Area"
Russell,Virginia,28264,
Scott,Virginia,22640,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area"
Shenandoah,Virginia,42684,
Smyth,Virginia,31652,
Southampton,Virginia,18128,
Spotsylvania,Virginia,127348,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Stafford,Virginia,136788,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Surry,Virginia,6765,
Sussex,Virginia,11810,"Richmond, VA Metropolitan Statistical Area"
Tazewell,Virginia,44103,"Bluefield, WV-VA Micropolitan Statistical Area"
Warren,Virginia,38699,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Washington,Virginia,54907,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area"
Westmoreland,Virginia,17612,
Wise,Virginia,40589,"Big Stone Gap, VA Micropolitan Statistical Area"
Wythe,Virginia,29344,
York,Virginia,66269,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area"
"Alexandria, City of",Virginia,148892,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
"Bristol, City of",Virginia,17341,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area"
"Buena Vista, City of",Virginia,6680,
"Charlottesville, City of",Virginia,44349,"Charlottesville, VA Metropolitan Statistical Area"
"Chesapeake, City of",Virginia,230571,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area"
"Colonial Heights, City of",Virginia,17634,"Richmond, VA Metropolitan Statistical Area"
"Covington, City of",Virginia,5818,
"Danville, City of",Virginia,42907,"Danville, VA Micropolitan Statistical Area"
"Emporia, City of",Virginia,5588,
"Fairfax, City of",Virginia,23973,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
"Falls Church, City of",Virginia,13508,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
"Franklin, City of",Virginia,8638,
"Fredericksburg, City of",Virginia,28132,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
"Galax, City of",Virginia,7035,
"Hampton, City of",Virginia,136699,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area"
"Harrisonburg, City of",Virginia,51395,"Harrisonburg, VA Metropolitan Statistical Area"
"Hopewell, City of",Virginia,22163,"Richmond, VA Metropolitan Statistical Area"
"Lexington, City of",Virginia,7170,
"Lynchburg, City of",Virginia,78014,"Lynchburg, VA Metropolitan Statistical Area"
"Manassas, City of",Virginia,41705,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
"Manassas Park, City of",Virginia,16149,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
"Martinsville, City of",Virginia,13755,"Martinsville, VA Micropolitan Statistical Area"
"Newport News, City of",Virginia,182020,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area"
"Norfolk, City of",Virginia,246139,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area"
"Norton, City of",Virginia,4017,"Big Stone Gap, VA Micropolitan Statistical Area"
"Petersburg, City of",Virginia,32538,"Richmond, VA Metropolitan Statistical Area"
"Poquoson, City of",Virginia,12104,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area"
"Portsmouth, City of",Virginia,96205,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area"
"Radford, City of",Virginia,17184,"Blacksburg-Christiansburg, VA Metropolitan Statistical Area"
"Richmond, City of",Virginia,214114,"Richmond, VA Metropolitan Statistical Area"
"Roanoke, City of",Virginia,98465,"Roanoke, VA Metropolitan Statistical Area"
"Salem, City of",Virginia,25299,"Roanoke, VA Metropolitan Statistical Area"
"Staunton, City of",Virginia,24350,"Staunton-Waynesboro, VA Metropolitan Statistical Area"
"Suffolk, City of",Virginia,85728,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area"
"Virginia Beach, City of",Virginia,448479,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area"
"Waynesboro, City of",Virginia,21263,"Staunton-Waynesboro, VA Metropolitan Statistical Area"
"Williamsburg, City of",Virginia,15206,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area"
"Winchester, City of",Virginia,27216,"Winchester, VA-WV Metropolitan Statistical Area"
Adams,Washington,19067,"Othello, WA Micropolitan Statistical Area"
Asotin,Washington,22110,"Lewiston, ID-WA Metropolitan Statistical Area"
Benton,Washington,184486,"Kennewick-Richland, WA Metropolitan Statistical Area"
Chelan,Washington,73967,"Wenatchee, WA Metropolitan Statistical Area"
Clallam,Washington,72312,"Port Angeles, WA Micropolitan Statistical Area"
Clark,Washington,443817,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area"
Columbia,Washington,4032,"Walla Walla, WA Metropolitan Statistical Area"
Cowlitz,Washington,101860,"Longview, WA Metropolitan Statistical Area"
Douglas,Washington,39471,"Wenatchee, WA Metropolitan Statistical Area"
Ferry,Washington,7646,
Franklin,Washington,86638,"Kennewick-Richland, WA Metropolitan Statistical Area"
Garfield,Washington,2256,
Grant,Washington,91878,"Moses Lake, WA Micropolitan Statistical Area"
Grays Harbor,Washington,71078,"Aberdeen, WA Micropolitan Statistical Area"
Island,Washington,78801,"Oak Harbor, WA Micropolitan Statistical Area"
Jefferson,Washington,30076,
King,Washington,2044449,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area"
Kitsap,Washington,253968,"Bremerton-Silverdale, WA Metropolitan Statistical Area"
Kittitas,Washington,41765,"Ellensburg, WA Micropolitan Statistical Area"
Klickitat,Washington,20866,
Lewis,Washington,75081,"Centralia, WA Micropolitan Statistical Area"
Lincoln,Washington,10301,
Mason,Washington,60497,"Shelton, WA Micropolitan Statistical Area"
Okanogan,Washington,41193,
Pacific,Washington,20498,
Pend Oreille,Washington,12896,"Spokane-Spokane Valley, WA Metropolitan Statistical Area"
Pierce,Washington,819743,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area"
San Juan,Washington,15875,
Skagit,Washington,118837,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area"
Skamania,Washington,11274,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area"
Snohomish,Washington,745913,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area"
Spokane,Washington,479398,"Spokane-Spokane Valley, WA Metropolitan Statistical Area"
Stevens,Washington,43430,"Spokane-Spokane Valley, WA Metropolitan Statistical Area"
Thurston,Washington,262388,"Olympia-Tumwater, WA Metropolitan Statistical Area"
Wahkiakum,Washington,4042,
Walla Walla,Washington,59530,"Walla Walla, WA Metropolitan Statistical Area"
Whatcom,Washington,206353,"Bellingham, WA Metropolitan Statistical Area"
Whitman,Washington,46570,"Pullman, WA Micropolitan Statistical Area"
Yakima,Washington,247044,"Yakima, WA Metropolitan Statistical Area"
Barbour,West Virginia,16770,
Berkeley,West Virginia,108706,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area"
Boone,West Virginia,24224,"Charleston, WV Metropolitan Statistical Area"
Braxton,West Virginia,14502,
Brooke,West Virginia,23737,"Weirton-Steubenville, WV-OH Metropolitan Statistical Area"
Cabell,West Virginia,97133,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area"
Calhoun,West Virginia,7564,
Clay,West Virginia,9244,"Charleston, WV Metropolitan Statistical Area"
Doddridge,West Virginia,8344,"Clarksburg, WV Micropolitan Statistical Area"
Fayette,West Virginia,45599,"Beckley, WV Metropolitan Statistical Area"
Gilmer,West Virginia,8672,
Grant,West Virginia,11759,
Greenbrier,West Virginia,35644,
Hampshire,West Virginia,23445,"Winchester, VA-WV Metropolitan Statistical Area"
Hancock,West Virginia,30291,"Weirton-Steubenville, WV-OH Metropolitan Statistical Area"
Hardy,West Virginia,13920,
Harrison,West Virginia,68972,"Clarksburg, WV Micropolitan Statistical Area"
Jackson,West Virginia,29178,
Jefferson,West Virginia,55073,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Kanawha,West Virginia,191275,"Charleston, WV Metropolitan Statistical Area"
Lewis,West Virginia,16452,
Lincoln,West Virginia,21559,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area"
Logan,West Virginia,35987,"Logan, WV Micropolitan Statistical Area"
McDowell,West Virginia,20876,
Marion,West Virginia,56868,"Fairmont, WV Micropolitan Statistical Area"
Marshall,West Virginia,32459,"Wheeling, WV-OH Metropolitan Statistical Area"
Mason,West Virginia,27126,"Point Pleasant, WV-OH Micropolitan Statistical Area"
Mercer,West Virginia,61984,"Bluefield, WV-VA Micropolitan Statistical Area"
Mineral,West Virginia,27704,"Cumberland, MD-WV Metropolitan Statistical Area"
Mingo,West Virginia,25900,
Monongalia,West Virginia,102274,"Morgantown, WV Metropolitan Statistical Area"
Monroe,West Virginia,13483,
Morgan,West Virginia,17498,
Nicholas,West Virginia,25965,
Ohio,West Virginia,43727,"Wheeling, WV-OH Metropolitan Statistical Area"
Pendleton,West Virginia,7471,
Pleasants,West Virginia,7577,
Pocahontas,West Virginia,8669,
Preston,West Virginia,33859,"Morgantown, WV Metropolitan Statistical Area"
Putnam,West Virginia,56650,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area"
Raleigh,West Virginia,78833,"Beckley, WV Metropolitan Statistical Area"
Randolph,West Virginia,29415,"Elkins, WV Micropolitan Statistical Area"
Ritchie,West Virginia,10073,
Roane,West Virginia,14656,
Summers,West Virginia,13563,
Taylor,West Virginia,16973,"Clarksburg, WV Micropolitan Statistical Area"
Tucker,West Virginia,6968,
Tyler,West Virginia,8995,
Upshur,West Virginia,24665,
Wayne,West Virginia,41437,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area"
Webster,West Virginia,8893,
Wetzel,West Virginia,16204,
Wirt,West Virginia,5901,"Parkersburg-Vienna, WV Metropolitan Statistical Area"
Wood,West Virginia,86569,"Parkersburg-Vienna, WV Metropolitan Statistical Area"
Wyoming,West Virginia,23019,
Adams,Wisconsin,20480,
Ashland,Wisconsin,16016,
Barron,Wisconsin,45676,
Bayfield,Wisconsin,15156,
Brown,Wisconsin,254586,"Green Bay, WI Metropolitan Statistical Area"
Buffalo,Wisconsin,13357,
Burnett,Wisconsin,15333,
Calumet,Wisconsin,49617,"Appleton, WI Metropolitan Statistical Area"
Chippewa,Wisconsin,63132,"Eau Claire, WI Metropolitan Statistical Area"
Clark,Wisconsin,34615,
Columbia,Wisconsin,56653,"Madison, WI Metropolitan Statistical Area"
Crawford,Wisconsin,16397,
Dane,Wisconsin,509939,"Madison, WI Metropolitan Statistical Area"
Dodge,Wisconsin,88344,"Beaver Dam, WI Micropolitan Statistical Area"
Door,Wisconsin,27896,
Douglas,Wisconsin,43887,"Duluth, MN-WI Metropolitan Statistical Area"
Dunn,Wisconsin,44122,"Menomonie, WI Micropolitan Statistical Area"
Eau Claire,Wisconsin,101438,"Eau Claire, WI Metropolitan Statistical Area"
Florence,Wisconsin,4520,"Iron Mountain, MI-WI Micropolitan Statistical Area"
Fond du Lac,Wisconsin,101798,"Fond du Lac, WI Metropolitan Statistical Area"
Forest,Wisconsin,9126,
Grant,Wisconsin,51069,"Platteville, WI Micropolitan Statistical Area"
Green,Wisconsin,37090,"Madison, WI Metropolitan Statistical Area"
Green Lake,Wisconsin,18959,
Iowa,Wisconsin,23749,"Madison, WI Metropolitan Statistical Area"
Iron,Wisconsin,5886,
Jackson,Wisconsin,20644,
Jefferson,Wisconsin,84509,"Watertown-Fort Atkinson, WI Micropolitan Statistical Area"
Juneau,Wisconsin,26547,
Kenosha,Wisconsin,167757,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area"
Kewaunee,Wisconsin,20505,"Green Bay, WI Metropolitan Statistical Area"
La Crosse,Wisconsin,116713,"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area"
Lafayette,Wisconsin,16766,
Langlade,Wisconsin,19575,
Lincoln,Wisconsin,28684,"Merrill, WI Micropolitan Statistical Area"
Manitowoc,Wisconsin,80654,"Manitowoc, WI Micropolitan Statistical Area"
Marathon,Wisconsin,135416,"Wausau, WI Metropolitan Statistical Area"
Marinette,Wisconsin,41610,"Marinette, WI-MI Micropolitan Statistical Area"
Marquette,Wisconsin,15176,
Menominee,Wisconsin,4317,"Shawano, WI Micropolitan Statistical Area"
Milwaukee,Wisconsin,956023,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area"
Monroe,Wisconsin,45298,
Oconto,Wisconsin,37318,"Green Bay, WI Metropolitan Statistical Area"
Oneida,Wisconsin,35689,
Outagamie,Wisconsin,180345,"Appleton, WI Metropolitan Statistical Area"
Ozaukee,Wisconsin,87054,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area"
Pepin,Wisconsin,7360,
Pierce,Wisconsin,40976,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area"
Polk,Wisconsin,43476,
Portage,Wisconsin,70380,"Stevens Point, WI Micropolitan Statistical Area"
Price,Wisconsin,13802,
Racine,Wisconsin,195041,"Racine, WI Metropolitan Statistical Area"
Richland,Wisconsin,17717,
Rock,Wisconsin,160739,"Janesville-Beloit, WI Metropolitan Statistical Area"
Rusk,Wisconsin,14395,
St. Croix,Wisconsin,85930,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area"
Sauk,Wisconsin,63162,"Baraboo, WI Micropolitan Statistical Area"
Sawyer,Wisconsin,16513,
Shawano,Wisconsin,41643,"Shawano, WI Micropolitan Statistical Area"
Sheboygan,Wisconsin,114922,"Sheboygan, WI Metropolitan Statistical Area"
Taylor,Wisconsin,20610,
Trempealeau,Wisconsin,29582,
Vernon,Wisconsin,30329,
Vilas,Wisconsin,21368,
Walworth,Wisconsin,102945,"Whitewater-Elkhorn, WI Micropolitan Statistical Area"
Washburn,Wisconsin,15686,
Washington,Wisconsin,132739,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area"
Waukesha,Wisconsin,393843,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area"
Waupaca,Wisconsin,52285,
Waushara,Wisconsin,24329,
Winnebago,Wisconsin,169541,"Oshkosh-Neenah, WI Metropolitan Statistical Area"
Wood,Wisconsin,73959,"Wisconsin Rapids-Marshfield, WI Micropolitan Statistical Area"
Albany,Wyoming,37422,"Laramie, WY Micropolitan Statistical Area"
Big Horn,Wyoming,11994,
Campbell,Wyoming,48176,"Gillette, WY Micropolitan Statistical Area"
Carbon,Wyoming,15748,
Converse,Wyoming,14313,
Crook,Wyoming,7184,
Fremont,Wyoming,40998,"Riverton, WY Micropolitan Statistical Area"
Goshen,Wyoming,13612,
Hot Springs,Wyoming,4847,
Johnson,Wyoming,8628,
Laramie,Wyoming,95809,"Cheyenne, WY Metropolitan Statistical Area"
Lincoln,Wyoming,18364,
Natrona,Wyoming,80973,"Casper, WY Metropolitan Statistical Area"
Niobrara,Wyoming,2541,
Park,Wyoming,29227,
Platte,Wyoming,8765,
Sheridan,Wyoming,29824,"Sheridan, WY Micropolitan Statistical Area"
Sublette,Wyoming,10041,
Sweetwater,Wyoming,45237,"Rock Springs, WY Micropolitan Statistical Area"
Teton,Wyoming,22268,"Jackson, WY-ID Micropolitan Statistical Area"
Uinta,Wyoming,21066,"Evanston, WY Micropolitan Statistical Area"
Washakie,Wyoming,8463,
Weston,Wyoming,7158,
