SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RBIRTH2019,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RDEATH2019,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RNATURALINC2019,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RINTERNATIONALMIG2019,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RDOMESTICMIG2019,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018,RNETMIG2019
040,4,8,08,Colorado,5029196,5029319,5047349,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736,18030,73759,71539,76388,81066,100522,88592,72670,79402,67449,16780,65926,64748,64729,65702,66350,66588,65375,64494,64524,7832,32015,32721,33589,33935,36253,36719,37702,38490,39116,8948,33911,32027,31140,31767,30097,29869,27673,26004,25408,2322,12382,11017,8715,9461,13122,9351,8171,10646,10523,6111,27250,27722,35709,38947,56554,49084,36612,42539,31335,8433,39632,38739,44424,48408,69676,58435,44783,53185,41858,649,216,773,824,891,749,288,214,213,183,12.966765754,12.555659893,12.374491979,12.374264724,12.286213406,12.118104016,11.725300643,11.411663912,11.270545046,6.2969239089,6.3451187274,6.421338366,6.3912920976,6.7130684943,6.6823550993,6.7620234775,6.8104776252,6.8324753583,6.6698418452,6.2105411657,5.9531536133,5.982972626,5.5731449114,5.4357489164,4.9632771655,4.6011862865,4.4380696877,2.4353744132,2.1363703132,1.6660800816,1.7818775463,2.4298371109,1.7017539294,1.4655056452,1.8837190127,1.8380749104,5.3597119012,5.3757336683,6.8266269229,7.3352483667,10.472260934,8.9326157492,6.5665270691,7.5269136841,5.4733514509,7.7950863145,7.5121039815,8.4927070045,9.1171259131,12.902098045,10.634369679,8.0320327143,9.4106326967,7.3114263613
040,1,1,09,Connecticut,3574097,3574147,3579114,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287,4967,9169,6264,294,-317,-7402,-8981,-4844,-1777,-6233,9488,37634,36855,36142,36162,36321,35888,35551,34883,34567,6847,29295,29064,29756,29669,30375,30116,31118,31263,31149,2641,8339,7791,6386,6493,5946,5772,4433,3620,3418,2420,12893,15890,11024,18106,16475,14395,14368,18498,12323,152,-12024,-17361,-17031,-25086,-29963,-29219,-23724,-23976,-22059,2572,869,-1471,-6007,-6980,-13488,-14824,-9356,-5478,-9736,-246,-39,-56,-85,170,140,71,79,81,85,10.501441458,10.261971953,10.054263311,10.05985925,10.114951364,10.017217791,9.9423360728,9.7645607998,9.6869650531,8.174515797,8.0926320127,8.2777560482,8.2535801145,8.4590635629,8.4061115412,8.7025854101,8.7512388351,8.7291137339,2.3269256607,2.1693399398,1.7765072632,1.8062791359,1.6558878007,1.6111062497,1.2397506627,1.0133219647,0.9578513192,3.5976798829,4.4244399492,3.0667422596,5.0368843424,4.5880846814,4.0179962689,4.0182128406,5.1780192551,3.4533650693,-3.355192966,-4.834027814,-4.737816348,-6.978641368,-8.344326635,-8.155736921,-6.634749543,-6.711438516,-6.181756071,0.2424869168,-0.409587864,-1.671074089,-1.941757026,-3.756241953,-4.137740652,-2.616536702,-1.53341926,-2.728391002
040,3,5,10,Delaware,897934,897937,899593,907381,915179,923576,932487,941252,948921,956823,965479,973764,1656,7788,7798,8397,8911,8765,7669,7902,8656,8285,2842,11298,11158,10890,10981,11026,11084,10978,10732,10683,1839,7874,7695,8085,8072,8543,8505,9057,9420,9454,1003,3424,3463,2805,2909,2483,2579,1921,1312,1229,357,1527,1212,2357,1743,2238,1708,1528,484,73,281,2854,3202,3298,4230,4052,3379,4430,6851,6961,638,4381,4414,5655,5973,6290,5087,5958,7335,7034,15,-17,-79,-63,29,-8,3,23,9,22,12.504883856,12.244315688,11.84497119,11.832572493,11.768981699,11.728027011,11.520959793,11.165779362,11.017701237,8.7151226304,8.4441664472,8.7939937621,8.6979806181,9.1186659401,8.9991762659,9.5049492482,9.8007493099,9.7501963395,3.7897612251,3.8001492406,3.0509774277,3.1345918754,2.650315759,2.7288507454,2.016010545,1.3650300525,1.2675048975,1.6901183968,1.3299973663,2.5636911932,1.8781690061,2.388806552,1.8072419826,1.6035731977,0.5035629157,0.0752871095,3.1588722361,3.5137389167,3.587209824,4.5580349374,4.3250420683,3.5753341096,4.6491029225,7.1279122635,7.1790899851,4.848990633,4.843736283,6.1509010173,6.4362039435,6.7138486203,5.3825760922,6.2526761202,7.6314751792,7.2543770946
040,3,5,11,District of Columbia,601723,601767,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749,3459,14574,15124,15657,11747,13072,10415,9091,6641,4202,2245,9196,9232,9445,9334,9648,9718,9693,9523,9493,1181,4668,4538,4813,4650,4883,4852,5138,5321,5677,1064,4528,4694,4632,4684,4765,4866,4555,4202,3816,696,2414,3384,4737,5205,5024,3451,3541,2749,2604,1473,7537,6711,6051,1778,3201,2057,973,-318,-2203,2169,9951,10095,10788,6983,8225,5508,4514,2431,401,226,95,335,237,80,82,41,22,8,-15,15.013558896,14.715586854,14.694614179,14.218807244,14.42445699,14.278420382,14.040490439,13.638840691,13.49112056,7.6210627366,7.2334632955,7.4881077864,7.08350693,7.3004377572,7.1289252616,7.4424883811,7.6207362511,8.0679544318,7.3924961593,7.4821235586,7.2065063924,7.135300314,7.1240192326,7.1494951202,6.5980020583,6.0181044403,5.4231661285,3.9411408411,5.3940149387,7.3698663171,7.9289577572,7.5112429433,5.0704701315,5.1292042346,3.9371178264,3.7007139934,12.305044954,10.697173243,9.4141990891,2.7084893165,4.7857262463,3.0222999306,1.4094085626,-0.455439603,-3.130826777,16.246185795,16.091188182,16.784065406,10.637447074,12.29696919,8.092770062,6.5386127972,3.4816782233,0.5698872163
040,3,5,12,Florida,18801310,18804564,18845537,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737,40973,207700,244585,247799,300290,363131,404435,350136,280704,233420,50873,213205,214010,212988,218333,221746,224651,224574,223066,221695,41764,174483,173756,181609,181024,191076,193671,199813,209998,211692,9109,38722,40254,31379,37309,30670,30980,24761,13068,10003,22164,100548,98777,103594,112485,132882,155926,160385,131600,88678,10296,68593,103746,111585,147547,197401,216749,164257,135530,133910,32460,169141,202523,215179,260032,330283,372675,324642,267130,222588,-596,-163,1808,1241,2949,2178,780,733,506,829,11.251287443,11.160578382,10.966484099,11.085275891,11.072088887,11.006229184,10.80277624,10.569862109,10.378480398,9.2078440321,9.0613403922,9.3508188757,9.1910109005,9.5406927578,9.4884394567,9.6116875904,9.9506419765,9.9101976698,2.0434434106,2.0992379898,1.6156652231,1.8942649908,1.5313961297,1.5177897278,1.19108865,0.6192201323,0.4682827282,5.306134705,5.1512006487,5.3339246987,5.7111259344,6.6349846922,7.6392150127,7.7150661578,6.2357950271,4.1513921592,3.6198004716,5.4103329976,5.7453712329,7.4913054917,9.8565088817,10.619089919,7.9013225793,6.4220159577,6.2688933449,8.9259351767,10.561533646,11.079295932,13.202431426,16.491493574,18.258304932,15.616388737,12.657810985,10.420285504
040,3,5,13,Georgia,9687653,9688729,9711881,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423,23152,90550,98999,71049,94799,111169,123443,108440,100801,106292,32487,132621,131867,128653,129551,131676,130742,129824,128547,127873,17216,71158,70452,74849,74837,78553,80059,82160,84569,86319,15271,61463,61415,53804,54714,53123,50683,47664,43978,41554,4088,11606,21466,22294,16832,25266,34354,20986,16863,15053,3012,17214,15023,-5840,23027,32629,38428,39794,39981,49680,7100,28820,36489,16454,39859,57895,72782,60780,56844,64733,781,267,1095,791,226,151,-22,-4,-21,5,13.592177885,13.384889388,12.946924533,12.929398296,13.007783125,12.767563346,12.535981174,12.288529945,12.104283142,7.2929037929,7.1510857694,7.5323883188,7.4688530405,7.7599592013,7.8181330708,7.9334808147,8.0844258439,8.170838383,6.2992740918,6.2338036185,5.4145362143,5.4605452551,5.2478239233,4.9494302755,4.6025003597,4.2041041015,3.9334447592,1.1894859527,2.1788623052,2.2435445387,1.6798606889,2.4959343269,3.3548276085,2.0264365674,1.6120289114,1.4248963748,1.7642435972,1.5248788042,-0.587705217,2.298131659,3.2232977579,3.7526726245,3.8425625066,3.8220084152,4.702640796,2.9537295499,3.7037411094,1.6558393218,3.9779923479,5.7192320848,7.107500233,5.868999074,5.4340373266,6.1275371708
040,4,9,15,Hawaii,1360301,1360307,1363963,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,1415872,3656,15366,15475,13439,6295,7514,5507,-3166,-3800,-4721,4647,19151,18891,19036,18956,18212,18250,17939,17173,16878,2534,10072,10244,10340,10740,11070,10854,11297,12454,12748,2113,9079,8647,8696,8216,7142,7396,6642,4719,4130,1975,7229,10116,5681,3854,7267,9598,4647,4412,5014,-348,-889,-3061,-764,-5709,-6817,-11455,-14452,-12910,-13817,1627,6340,7055,4917,-1855,450,-1857,-9805,-8498,-8803,-84,-53,-227,-174,-66,-78,-32,-3,-21,-48,13.962057266,13.619390274,13.582362336,13.430726649,12.84077008,12.808765828,12.580155627,12.07246714,11.900728548,7.3430024948,7.3853704923,7.3776857827,7.6095169976,7.8051463201,7.6178818793,7.9222932223,8.7550518702,8.9886531299,6.6190547707,6.234019782,6.2046765538,5.821209651,5.0356237595,5.1908839487,4.6578624044,3.3174152702,2.9120754178,5.2703102696,7.2930894085,4.0534461249,2.7306404571,5.1237577514,6.7363580503,3.2588206253,3.101596985,3.5353864758,-0.648126412,-2.206815607,-0.545121077,-4.044947164,-4.806475381,-8.039693839,-10.13481293,-9.075615838,-9.742408244,4.6221838579,5.0862738016,3.5083250477,-1.314306707,0.3172823707,-1.303335789,-6.875992303,-5.974018853,-6.207021768
040,4,8,16,Idaho,1567582,1567657,1570746,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,1787065,3089,13164,11414,15882,19906,19947,31321,35335,32821,36529,5971,22952,22365,22699,22422,23030,22642,22430,22054,22220,2582,11881,11893,12295,12533,12888,13278,13687,13451,13308,3389,11071,10472,10404,9889,10142,9364,8743,8603,8912,114,1541,1524,1782,1322,2998,3369,1518,122,167,-378,528,-718,3543,8482,6763,18541,25007,24020,27360,-264,2069,806,5325,9804,9761,21910,26525,24142,27527,-36,24,136,153,213,44,47,67,76,90,14.551190368,14.069426786,14.157983864,13.83084571,14.03339436,13.584769363,13.193748998,12.717649328,12.562185504,7.5323585202,7.4816764038,7.668726006,7.7308888271,7.8533385372,7.9665474604,8.0509515175,7.7566473707,7.523742785,7.0188318473,6.5877503826,6.4892578582,6.0999568827,6.1800558228,5.6182219024,5.1427974807,4.9610019575,5.0384427187,0.9769686457,0.9587215034,1.1114818823,0.8154659722,1.8268396132,2.0213359237,0.8929162273,0.070352463,0.0944142655,0.3347433127,-0.451681128,2.2098654932,5.232059286,4.1210528032,11.124247361,14.709588997,13.851361969,15.468109603,1.3117119585,0.5070403751,3.3213473755,6.0475252582,5.9478924163,13.145583285,15.602505224,13.921714432,15.562523869
040,2,3,17,Illinois,12830632,12831572,12840503,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821,8931,26951,15056,12619,-10636,-25580,-38386,-41699,-55757,-51250,41831,162400,160123,157513,157512,159239,156289,151944,147037,144299,24075,101622,101304,104307,102688,107564,106158,108770,109549,110004,17756,60778,58819,53206,54824,51675,50131,43174,37488,34295,4868,30606,27200,27571,28835,30323,24509,29564,20260,19209,-13329,-64482,-70886,-67989,-94721,-107924,-113179,-114678,-113699,-104986,-8461,-33876,-43686,-40418,-65886,-77601,-88670,-85114,-93439,-85777,-364,49,-77,-169,426,346,153,241,194,232,12.634220603,12.436755251,12.220902,12.219884372,12.37124567,12.172305938,11.870924092,11.531454971,11.364411394,7.9058791019,7.868282845,8.0928280515,7.9666024583,8.356625382,8.267937307,8.4978703565,8.5914386219,8.6634745287,4.7283415014,4.5684724064,4.1280739481,4.2532819139,4.0146202876,3.9043686311,3.3730537351,2.9400163494,2.7009368656,2.3810526834,2.1126243128,2.1391408267,2.2370382312,2.3557877307,1.9088422489,2.3097456948,1.5889012814,1.5128239175,-5.016501311,-5.505716435,-5.275037019,-7.348517368,-8.384593709,-8.814756085,-8.959444486,-8.91690458,-8.268276943,-2.635448628,-3.393092122,-3.135896193,-5.111479137,-6.028805979,-6.905913836,-6.649698791,-7.328003299,-6.755453026
040,2,3,18,Indiana,6483802,6484051,6490432,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219,6381,26096,21175,31010,24931,14778,25882,23774,37419,36722,20955,83459,83077,83373,83554,84175,83559,82268,81801,80711,13852,57901,58599,60698,59833,62900,62128,65300,63233,62175,7103,25558,24478,22675,23721,21275,21431,16968,18568,18536,2376,8791,10534,8595,9527,7779,13298,8861,14959,14379,-3040,-8203,-13567,81,-7644,-13950,-8698,-1877,4044,3997,-664,588,-3033,8676,1883,-6171,4600,6984,19003,18376,-58,-50,-270,-341,-673,-326,-149,-178,-152,-190,12.832975576,12.727980683,12.722471193,12.695902413,12.75179203,12.619607172,12.378217839,12.251550615,12.021553033,8.903079582,8.9777789285,9.2623338066,9.0915327703,9.5288116269,9.3829623901,9.825176556,9.4705724871,9.260696309,3.9298959941,3.7502017545,3.4601373861,3.6043696429,3.2229804032,3.2366447814,2.5530412833,2.7809781276,2.7608567235,1.3517378388,1.6138828859,1.3115713708,1.4476130681,1.1784519181,2.0083478281,1.3332448616,2.2404487188,2.1416896217,-1.261324706,-2.078559817,0.0123603585,-1.1614941,-2.113305599,-1.313626817,-0.282417403,0.6056805013,0.5953357965,0.0904131327,-0.464676931,1.3239317293,0.2861189679,-0.934853681,0.6947210114,1.0508274589,2.8461292201,2.7370254182
040,2,4,19,Iowa,3046355,3046871,3050745,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070,3874,15591,9854,16807,16353,11610,10411,10179,7068,6452,9958,37854,38472,38806,39463,39702,39432,38850,38068,37672,6888,28188,28055,29150,28884,29750,29158,30581,28919,28809,3070,9666,10417,9656,10579,9952,10274,8269,9149,8863,1448,6118,4030,6904,6805,5409,5722,5903,2835,2663,-545,-179,-4577,194,-948,-3642,-5556,-3962,-4899,-5011,903,5939,-547,7098,5857,1767,166,1941,-2064,-2348,-99,-14,-16,53,-83,-109,-29,-31,-17,-63,12.376491336,12.526442705,12.580588009,12.725182903,12.74479119,12.613535656,12.386573974,12.103969242,11.952368201,9.216160453,9.1346784694,9.4501917352,9.3138935954,9.5500865928,9.3270813717,9.7501626435,9.1949849352,9.1403635459,3.1603308833,3.3917642351,3.1303962743,3.4112893071,3.1947045974,3.286454284,2.6364113305,2.9089843069,2.8120046551,2.0003004701,1.312163758,2.2382203684,2.19433063,1.7363501977,1.8303573499,1.8820578164,0.9014067669,0.8449022223,-0.058524646,-1.490266382,0.0628932143,-0.305690733,-1.169123206,-1.777257154,-1.263207364,-1.557669048,-1.58986295,1.9417758241,-0.178102624,2.3011135827,1.8886398971,0.5672269919,0.0531001958,0.6188504526,-0.656262281,-0.744960728
040,2,4,20,Kansas,2853118,2853123,2858190,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,2913314,5067,11035,16032,7955,7263,8536,1833,-2126,2641,1955,9987,40113,39582,39727,39292,39001,38613,37409,35912,35457,5996,25169,24978,25592,25475,26530,26238,27016,25734,25230,3991,14944,14604,14135,13817,12471,12375,10393,10178,10227,919,4749,5977,5716,6534,9088,7640,2278,4053,4104,219,-8652,-4625,-11900,-13065,-12926,-18161,-14764,-11564,-12357,1138,-3903,1352,-6184,-6531,-3838,-10521,-12486,-7511,-8253,-62,-6,76,4,-23,-97,-21,-33,-26,-19,14.007366325,13.756928947,13.750008869,13.563728935,13.426661154,13.26940276,12.856293996,12.3407302,12.174760712,8.7889562743,8.6812331675,8.8577095421,8.7940546322,9.1333381301,9.0167194887,9.2845475312,8.8431819716,8.6631472702,5.2184100506,5.0756957794,4.892299327,4.7696743024,4.2933230238,4.2526832713,3.5717464648,3.4975482283,3.5116134416,1.6583397571,2.0773372825,1.978378702,2.255558507,3.1286760997,2.6254949651,0.7828767869,1.3927650785,1.4091778199,-3.021258281,-1.607442686,-4.118738026,-4.510081404,-4.449963387,-6.241048961,-5.073921371,-3.973830587,-4.242984971,-1.362918524,0.4698945969,-2.140359324,-2.254522897,-1.321287288,-3.615553996,-4.291044584,-2.581065508,-2.833807151
040,3,6,21,Kentucky,4339367,4339333,4348181,4369821,4386346,4404659,4414349,4425976,4438182,4452268,4461153,4467673,8848,21640,16525,18313,9690,11627,12206,14086,8885,6520,13687,55309,55306,56046,55758,55943,55681,54910,54428,53471,10554,42508,42857,44417,43645,46309,46715,48541,46582,46074,3133,12801,12449,11629,12113,9634,8966,6369,7846,7397,1510,5010,7784,8844,4993,7417,7095,5916,895,765,4041,3852,-3564,-2091,-7102,-5275,-3752,1936,226,-1541,5551,8862,4220,6753,-2109,2142,3343,7852,1121,-776,164,-23,-144,-69,-314,-149,-103,-135,-82,-101,12.688457745,12.632468065,12.750760579,12.644959615,12.656322024,12.56317859,12.352580578,12.212594917,11.977162507,9.7517756936,9.7889864366,10.105101749,9.8979386344,10.476764146,10.540200209,10.919807209,10.452103631,10.320281748,2.9366820517,2.8434816284,2.6456588297,2.7470209801,2.1795578782,2.022978381,1.4327733692,1.7604912861,1.656880759,1.1493459166,1.777946903,2.012056642,1.1323269012,1.6779926077,1.6008288661,1.3308662666,0.2008207623,0.1713551143,0.8836887167,-0.814054826,-0.475713528,-1.610611987,-1.193395039,-0.846555307,0.4355235112,0.0507100472,-0.345174158,2.0330346334,0.9638920774,1.5363431144,-0.478285086,0.4845975685,0.7542735588,1.7663897778,0.2515308096,-0.173819044
040,3,7,22,Louisiana,4533372,4533487,4544532,4575625,4600972,4624527,4644013,4664628,4678135,4670560,4659690,4648794,11045,31093,25347,23555,19486,20615,13507,-7575,-10870,-10896,14574,62290,62286,62541,64226,64390,63993,62391,59870,58498,9182,40767,40733,43787,43592,43973,43677,45011,46238,46343,5392,21523,21553,18754,20634,20417,20316,17380,13632,12155,1201,6728,4152,6115,4643,6107,6417,3265,3293,3040,4107,2728,-591,-1614,-5764,-5865,-13144,-28239,-27776,-26045,5308,9456,3561,4501,-1121,242,-6727,-24974,-24483,-23005,345,114,233,300,-27,-44,-82,19,-19,-46,13.659852566,13.574966842,13.558290993,13.858924922,13.834457683,13.698945376,13.347531393,12.833525361,12.568749111,8.939977678,8.8775828338,9.4926030559,9.4064437333,9.4477808307,9.3499107277,9.629365382,9.9114171646,9.957153066,4.7198748881,4.6973840085,4.0656879373,4.4524811891,4.3866768522,4.3490346485,3.7181660114,2.9221081965,2.6115960451,1.4754131974,0.9049106112,1.3256735489,1.0018837918,1.3121141958,1.3736835666,0.6984932122,0.7058760483,0.6531675835,0.5982353155,-0.128805918,-0.349899772,-1.243777337,-1.260119495,-2.813728658,-6.041271001,-5.953966936,-5.5959703,2.0736485128,0.7761046933,0.9757737766,-0.241893545,0.0519947004,-1.440045092,-5.342777789,-5.248090887,-4.942802716
040,1,1,23,Maine,1328361,1328358,1327629,1328284,1327729,1328009,1330513,1328262,1331317,1334612,1339057,1344212,-729,655,-555,280,2504,-2251,3055,3295,4445,5155,3442,12623,12799,12869,12704,12652,12647,12451,12252,12073,3102,13026,12752,13406,13350,14175,14172,14551,14416,14335,340,-403,47,-537,-646,-1523,-1525,-2100,-2164,-2262,294,1102,476,1742,2994,623,1966,628,874,852,-1309,-3,-872,-783,320,-1253,2660,4815,5768,6613,-1015,1099,-396,959,3314,-630,4626,5443,6642,7465,-54,-41,-206,-142,-164,-98,-46,-48,-33,-48,9.5055824494,9.6377540321,9.691468059,9.5571900477,9.5171648598,9.5105277941,9.3408339082,9.1649340289,8.9987250626,9.8090562454,9.602362639,10.095875421,10.043174365,10.662805239,10.65732584,10.916269713,10.783683395,10.684728218,-0.303473796,0.035391393,-0.404407362,-0.485984318,-1.145640379,-1.146798046,-1.575435805,-1.618749367,-1.686003155,0.8298464596,0.3584319806,1.3118763974,2.2523793296,0.4686368722,1.4784294808,0.4711303264,0.6537832469,0.6350462812,-0.00225911,-0.656623292,-0.589666601,0.2407352657,-0.942539327,2.0003165915,3.6122492384,4.3146702153,4.9290622744,0.8275873494,-0.298191312,0.7222097963,2.4931145953,-0.473902455,3.4787460722,4.0833795649,4.9684534623,5.5641085556
040,3,5,24,Maryland,5773552,5773794,5788645,5839419,5886992,5923188,5957283,5985562,6003323,6023868,6035802,6045680,14851,50774,47573,36196,34095,28279,17761,20545,11934,9878,18468,73541,72733,72361,72753,74134,73397,71942,71389,70091,10608,43692,43467,45721,44767,47192,47258,49834,50845,51453,7860,29849,29266,26640,27986,26942,26139,22108,20544,18638,6545,20485,25540,21154,23126,27296,21413,22617,15809,15011,851,519,-6440,-11012,-16479,-25651,-29709,-24054,-24353,-23665,7396,21004,19100,10142,6647,1645,-8296,-1437,-8544,-8654,-405,-79,-793,-586,-538,-308,-82,-126,-66,-106,12.64888119,12.404989046,12.254004596,12.247494228,12.414797312,12.2441745,11.963225661,11.839295768,11.603046712,7.5149225185,7.4135214943,7.7426423645,7.5362332015,7.9029745425,7.8836355508,8.2868892662,8.4322373664,8.5176636442,5.133958671,4.9914675513,4.5113622316,4.7112610266,4.5118227692,4.3605389492,3.6763363948,3.4070584021,3.0853830681,3.5233724204,4.3559789948,3.5823332075,3.8931116452,4.5711051261,3.5721420299,3.7609779374,2.6217964505,2.4849600405,0.0892667945,-1.098375283,-1.864831865,-2.77413244,-4.295626377,-4.956090579,-3.999936477,-4.038750646,-3.917565742,3.6126392149,3.2576037118,1.7175013421,1.1189792055,0.275478749,-1.383948549,-0.23895854,-1.416954195,-1.432605702
040,1,1,25,Massachusetts,6547629,6547785,6566307,6613583,6663005,6713315,6762596,6794228,6823608,6859789,6882635,6892503,18522,47276,49422,50310,49281,31632,29380,36181,22846,9868,18645,73185,72224,72157,71950,71919,71410,70765,70696,70419,12303,53998,52393,54784,54721,57490,55981,58172,58890,58564,6342,19187,19831,17373,17229,14429,15429,12593,11806,11855,8872,33717,38241,36877,43948,40282,44261,48794,38352,28426,3563,-5472,-7745,-3094,-10782,-22573,-30169,-25009,-27223,-30274,12435,28245,30496,33783,33166,17709,14092,23785,11129,-1848,-255,-156,-905,-846,-1114,-506,-141,-197,-89,-139,11.105555509,10.879903783,10.788767015,10.678313325,10.610007182,10.487716257,10.343191826,10.288723445,10.224071802,8.1939985842,7.8925398604,8.1911915983,8.121306233,8.4813375168,8.2217174594,8.5025670161,8.5705403937,8.502854926,2.911556925,2.9873639221,2.5975754169,2.5570070921,2.1286696648,2.2659987975,1.8406248098,1.7181830513,1.7212168764,5.116431169,5.7606668219,5.5137735939,6.5224532872,5.9426898217,6.5004454452,7.131854758,5.5815480588,4.1271455865,-0.830355944,-1.166715424,-0.46260855,-1.600188663,-3.33013101,-4.430806774,-3.655378851,-3.961892021,-4.395455058,4.2860752252,4.5939513978,5.0511650439,4.9222646246,2.6125588117,2.0696386709,3.4764759073,1.6196560374,-0.268309472
040,2,3,26,Michigan,9883640,9884116,9877510,9882412,9897145,9913065,9929848,9931715,9950571,9973114,9984072,9986857,-6606,4902,14733,15920,16783,1867,18856,22543,10958,2785,29100,113972,113075,113019,114518,113802,113314,112565,110376,109472,22108,89833,89037,92325,91840,96307,94761,97505,96260,95983,6992,24139,24038,20694,22678,17495,18553,15060,14116,13489,4576,21595,23918,23211,23108,21215,27665,20952,13645,13146,-18629,-40878,-32963,-28210,-28444,-36387,-27092,-13172,-16639,-23670,-14053,-19283,-9045,-4999,-5336,-15172,573,7780,-2994,-10524,455,46,-260,225,-559,-456,-270,-297,-164,-180,11.535673066,11.433521994,11.410176873,11.542458509,11.459521086,11.398488081,11.299616512,11.06127888,10.963135466,9.0924447981,9.0029316632,9.3209511661,9.2567054041,9.6978269031,9.5322036913,9.7878479809,9.6466505849,9.6122719178,2.4432282678,2.4305903312,2.0892257073,2.2857531049,1.7616941829,1.86628439,1.5117685308,1.4146282948,1.3508635477,2.1857373728,2.4184565913,2.3433370974,2.3290935157,2.1362870586,2.7828791921,2.1032253823,1.3674272515,1.3165136184,-4.137465725,-3.333037236,-2.848026346,-2.866917776,-3.664062088,-2.725239945,-1.322245358,-1.667469552,-2.370445561,-1.951728352,-0.914580645,-0.504689249,-0.53782426,-1.52777503,0.0576392473,0.7809800245,-0.300042301,-1.053931943
